"GEO_ID","NAME","S2406_C01_001E","S2406_C01_001M","S2406_C01_002E","S2406_C01_002M","S2406_C01_003E","S2406_C01_003M","S2406_C01_004E","S2406_C01_004M","S2406_C01_005E","S2406_C01_005M","S2406_C01_006E","S2406_C01_006M","S2406_C01_007E","S2406_C01_007M","S2406_C02_001E","S2406_C02_001M","S2406_C02_002E","S2406_C02_002M","S2406_C02_003E","S2406_C02_003M","S2406_C02_004E","S2406_C02_004M","S2406_C02_005E","S2406_C02_005M","S2406_C02_006E","S2406_C02_006M","S2406_C02_007E","S2406_C02_007M","S2406_C03_001E","S2406_C03_001M","S2406_C03_002E","S2406_C03_002M","S2406_C03_003E","S2406_C03_003M","S2406_C03_004E","S2406_C03_004M","S2406_C03_005E","S2406_C03_005M","S2406_C03_006E","S2406_C03_006M","S2406_C03_007E","S2406_C03_007M","S2406_C04_001E","S2406_C04_001M","S2406_C04_002E","S2406_C04_002M","S2406_C04_003E","S2406_C04_003M","S2406_C04_004E","S2406_C04_004M","S2406_C04_005E","S2406_C04_005M","S2406_C04_006E","S2406_C04_006M","S2406_C04_007E","S2406_C04_007M","S2406_C05_001E","S2406_C05_001M","S2406_C05_002E","S2406_C05_002M","S2406_C05_003E","S2406_C05_003M","S2406_C05_004E","S2406_C05_004M","S2406_C05_005E","S2406_C05_005M","S2406_C05_006E","S2406_C05_006M","S2406_C05_007E","S2406_C05_007M","S2406_C06_001E","S2406_C06_001M","S2406_C06_002E","S2406_C06_002M","S2406_C06_003E","S2406_C06_003M","S2406_C06_004E","S2406_C06_004M","S2406_C06_005E","S2406_C06_005M","S2406_C06_006E","S2406_C06_006M","S2406_C06_007E","S2406_C06_007M"
"id","Geographic Area Name","Total!!Estimate!!Civilian employed population 16 years and over","Total!!Margin of Error!!Civilian employed population 16 years and over","Total!!Estimate!!Management, business, science, and arts occupations","Total!!Margin of Error!!Management, business, science, and arts occupations","Total!!Estimate!!Service occupations","Total!!Margin of Error!!Service occupations","Total!!Estimate!!Sales and office occupations","Total!!Margin of Error!!Sales and office occupations","Total!!Estimate!!Natural resources, construction, and maintenance occupations","Total!!Margin of Error!!Natural resources, construction, and maintenance occupations","Total!!Estimate!!Production, transportation, and material moving occupations","Total!!Margin of Error!!Production, transportation, and material moving occupations","Total!!Estimate!!PERCENT ALLOCATED!!Occupation","Total!!Margin of Error!!PERCENT ALLOCATED!!Occupation","Employee of private company workers!!Estimate!!Civilian employed population 16 years and over","Employee of private company workers!!Margin of Error!!Civilian employed population 16 years and over","Employee of private company workers!!Estimate!!Management, business, science, and arts occupations","Employee of private company workers!!Margin of Error!!Management, business, science, and arts occupations","Employee of private company workers!!Estimate!!Service occupations","Employee of private company workers!!Margin of Error!!Service occupations","Employee of private company workers!!Estimate!!Sales and office occupations","Employee of private company workers!!Margin of Error!!Sales and office occupations","Employee of private company workers!!Estimate!!Natural resources, construction, and maintenance occupations","Employee of private company workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Employee of private company workers!!Estimate!!Production, transportation, and material moving occupations","Employee of private company workers!!Margin of Error!!Production, transportation, and material moving occupations","Employee of private company workers!!Estimate!!PERCENT ALLOCATED!!Occupation","Employee of private company workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation","Self-employed in own incorporated business workers!!Estimate!!Civilian employed population 16 years and over","Self-employed in own incorporated business workers!!Margin of Error!!Civilian employed population 16 years and over","Self-employed in own incorporated business workers!!Estimate!!Management, business, science, and arts occupations","Self-employed in own incorporated business workers!!Margin of Error!!Management, business, science, and arts occupations","Self-employed in own incorporated business workers!!Estimate!!Service occupations","Self-employed in own incorporated business workers!!Margin of Error!!Service occupations","Self-employed in own incorporated business workers!!Estimate!!Sales and office occupations","Self-employed in own incorporated business workers!!Margin of Error!!Sales and office occupations","Self-employed in own incorporated business workers!!Estimate!!Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers!!Estimate!!Production, transportation, and material moving occupations","Self-employed in own incorporated business workers!!Margin of Error!!Production, transportation, and material moving occupations","Self-employed in own incorporated business workers!!Estimate!!PERCENT ALLOCATED!!Occupation","Self-employed in own incorporated business workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation","Private not-for-profit wage and salary workers!!Estimate!!Civilian employed population 16 years and over","Private not-for-profit wage and salary workers!!Margin of Error!!Civilian employed population 16 years and over","Private not-for-profit wage and salary workers!!Estimate!!Management, business, science, and arts occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Management, business, science, and arts occupations","Private not-for-profit wage and salary workers!!Estimate!!Service occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Service occupations","Private not-for-profit wage and salary workers!!Estimate!!Sales and office occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Sales and office occupations","Private not-for-profit wage and salary workers!!Estimate!!Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers!!Estimate!!Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers!!Estimate!!PERCENT ALLOCATED!!Occupation","Private not-for-profit wage and salary workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation","Local, state, and federal government workers!!Estimate!!Civilian employed population 16 years and over","Local, state, and federal government workers!!Margin of Error!!Civilian employed population 16 years and over","Local, state, and federal government workers!!Estimate!!Management, business, science, and arts occupations","Local, state, and federal government workers!!Margin of Error!!Management, business, science, and arts occupations","Local, state, and federal government workers!!Estimate!!Service occupations","Local, state, and federal government workers!!Margin of Error!!Service occupations","Local, state, and federal government workers!!Estimate!!Sales and office occupations","Local, state, and federal government workers!!Margin of Error!!Sales and office occupations","Local, state, and federal government workers!!Estimate!!Natural resources, construction, and maintenance occupations","Local, state, and federal government workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Local, state, and federal government workers!!Estimate!!Production, transportation, and material moving occupations","Local, state, and federal government workers!!Margin of Error!!Production, transportation, and material moving occupations","Local, state, and federal government workers!!Estimate!!PERCENT ALLOCATED!!Occupation","Local, state, and federal government workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Civilian employed population 16 years and over","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Civilian employed population 16 years and over","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Service occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Service occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Sales and office occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Sales and office occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!PERCENT ALLOCATED!!Occupation","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation"
"0500000US01003","Baldwin County, Alabama","94170","3996","36401","3813","17798","2643","20326","3109","9868","2263","9777","3142","12.2","(X)","69.2","3.8","56.0","5.9","67.9","8.0","80.0","5.6","77.9","11.3","89.5","6.7","(X)","(X)","4.8","1.5","5.0","2.4","5.6","4.3","8.1","4.2","0.0","1.7","0.6","1.1","(X)","(X)","5.4","1.3","10.7","3.0","3.5","2.3","1.5","1.3","0.8","1.4","1.6","2.2","(X)","(X)","13.5","2.2","22.4","4.3","14.9","5.8","6.2","3.0","2.2","3.0","4.2","3.1","(X)","(X)","7.2","2.3","6.0","3.7","8.1","3.9","4.2","3.5","19.1","10.0","4.1","4.5","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","48810","2544","15179","2069","8180","1449","10935","1724","4209","1014","10307","1691","13.0","(X)","65.0","3.9","44.9","7.6","63.9","9.0","76.2","7.3","56.8","13.2","87.1","7.0","(X)","(X)","3.9","1.6","2.9","2.1","3.0","4.5","5.7","4.1","4.0","4.0","4.3","4.9","(X)","(X)","6.4","1.6","14.9","4.1","3.0","3.7","5.0","3.4","1.1","1.8","0.4","0.7","(X)","(X)","19.3","3.3","32.0","6.6","21.5","7.8","11.1","5.0","23.4","12.1","5.9","3.6","(X)","(X)","5.3","1.7","5.3","4.0","8.6","4.1","2.0","1.9","14.7","8.5","2.3","3.4","(X)","(X)"
"0500000US01043","Cullman County, Alabama","34795","1836","9368","1214","4637","850","7573","1220","6168","1614","7049","1367","9.4","(X)","74.2","3.1","66.7","6.0","82.6","7.8","73.4","7.4","72.5","8.1","81.1","8.5","(X)","(X)","5.2","2.4","3.6","3.1","1.7","2.0","8.7","6.0","9.2","6.2","2.3","2.4","(X)","(X)","2.7","1.3","8.1","3.8","0.0","3.5","1.3","1.6","0.0","2.6","1.1","1.9","(X)","(X)","10.0","2.6","14.7","5.1","4.5","2.7","12.5","6.0","6.4","5.7","8.1","6.7","(X)","(X)","7.8","2.6","7.0","4.2","11.2","7.1","4.1","3.1","11.8","7.1","7.4","5.9","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","28755","1861","8163","1424","4349","874","5036","1123","3575","845","7632","1385","14.0","(X)","73.4","4.3","56.1","9.4","69.9","11.6","73.7","10.1","74.6","13.8","93.1","4.7","(X)","(X)","1.8","1.0","2.7","2.5","1.6","2.2","1.2","1.4","4.3","6.7","0.1","0.2","(X)","(X)","3.1","1.8","1.4","1.3","7.6","9.3","5.8","6.0","0.0","4.5","2.1","2.3","(X)","(X)","13.8","3.5","27.6","8.5","13.9","7.7","12.0","6.7","8.1","9.1","2.8","2.4","(X)","(X)","8.0","2.4","12.2","5.2","7.1","6.8","7.3","6.1","13.0","9.6","1.9","2.6","(X)","(X)"
"0500000US01051","Elmore County, Alabama","35318","2019","12512","2046","4731","1475","9487","1691","4391","1194","4197","1062","11.0","(X)","65.4","4.4","53.6","8.4","67.5","13.5","73.2","7.7","63.5","11.9","82.5","9.6","(X)","(X)","3.6","1.7","4.9","2.6","1.2","2.3","3.4","3.0","6.2","8.6","0.0","3.9","(X)","(X)","7.7","2.7","13.6","5.9","8.2","9.1","4.7","4.2","0.9","1.6","3.6","3.7","(X)","(X)","18.2","4.1","24.7","7.1","17.2","10.4","16.5","6.7","13.5","10.8","9.0","7.9","(X)","(X)","5.1","1.8","3.2","2.4","5.9","4.9","2.2","2.5","15.9","9.2","4.9","6.8","(X)","(X)"
"0500000US01055","Etowah County, Alabama","38818","2569","11723","1862","6608","1427","9631","1654","2908","821","7948","1495","13.9","(X)","73.7","3.9","61.4","8.4","69.3","9.1","78.3","7.0","81.9","9.5","86.7","6.5","(X)","(X)","3.3","1.9","7.7","5.1","0.5","0.9","2.1","2.1","5.1","6.1","0.0","2.1","(X)","(X)","5.2","1.9","12.1","5.3","4.0","4.4","3.5","2.5","0.0","5.5","0.2","0.3","(X)","(X)","13.6","2.5","14.7","5.3","20.0","7.3","12.5","6.0","1.8","2.5","12.1","6.4","(X)","(X)","4.3","1.4","4.1","2.8","6.2","4.2","3.6","2.2","11.3","7.9","1.1","1.3","(X)","(X)"
"0500000US01069","Houston County, Alabama","45862","1170","13746","893","9113","963","11055","859","4369","679","7579","966","11.0","(X)","73.0","2.0","59.4","3.4","65.9","5.6","83.7","2.9","81.3","5.3","86.0","4.6","(X)","(X)","3.3","0.7","5.5","1.6","2.2","1.6","3.4","1.5","2.1","1.1","1.3","1.1","(X)","(X)","6.8","0.9","14.5","2.4","6.2","2.1","4.6","1.4","0.5","0.6","0.7","0.7","(X)","(X)","10.7","1.3","16.2","2.1","14.1","4.1","5.0","1.7","5.5","2.6","8.1","3.8","(X)","(X)","6.1","1.0","4.5","1.4","11.5","4.7","3.2","1.3","10.6","4.3","3.9","2.4","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","300430","6220","119312","4499","49498","3315","75175","4278","22801","2292","33644","2945","13.0","(X)","68.8","1.6","58.4","2.4","67.1","4.2","76.8","2.9","73.3","5.6","86.7","3.5","(X)","(X)","3.3","0.5","4.5","0.9","2.7","1.4","2.3","1.0","4.4","2.2","0.8","0.9","(X)","(X)","9.5","1.0","16.3","1.7","5.4","1.8","6.2","1.9","4.2","3.3","2.7","1.8","(X)","(X)","13.0","1.0","16.8","1.8","14.3","3.0","10.3","2.2","7.4","2.8","7.7","2.7","(X)","(X)","5.4","0.8","3.9","0.8","10.5","2.6","4.4","1.3","10.8","3.9","2.1","1.6","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","40655","2281","13275","1798","7965","1470","8775","1653","4910","1219","5730","1558","12.8","(X)","66.4","4.9","48.8","8.5","73.0","8.2","86.2","5.8","53.6","14.0","78.7","10.0","(X)","(X)","3.2","1.5","6.5","3.5","1.0","1.4","1.6","1.6","4.3","5.0","0.0","2.8","(X)","(X)","3.3","1.3","5.2","3.1","2.0","2.6","3.5","2.8","3.6","4.7","0.0","2.8","(X)","(X)","18.0","3.8","30.8","7.6","13.9","6.4","6.7","4.3","12.5","8.8","16.1","10.0","(X)","(X)","9.1","3.2","8.6","4.5","10.1","5.0","2.0","2.0","26.0","15.1","5.2","3.7","(X)","(X)"
