"GEO_ID","id"
"NAME","Geographic Area Name"
"S2406_C01_001E","Total!!Estimate!!Civilian employed population 16 years and over"
"S2406_C01_001M","Total!!Margin of Error!!Civilian employed population 16 years and over"
"S2406_C01_002E","Total!!Estimate!!Management, business, science, and arts occupations"
"S2406_C01_002M","Total!!Margin of Error!!Management, business, science, and arts occupations"
"S2406_C01_003E","Total!!Estimate!!Service occupations"
"S2406_C01_003M","Total!!Margin of Error!!Service occupations"
"S2406_C01_004E","Total!!Estimate!!Sales and office occupations"
"S2406_C01_004M","Total!!Margin of Error!!Sales and office occupations"
"S2406_C01_005E","Total!!Estimate!!Natural resources, construction, and maintenance occupations"
"S2406_C01_005M","Total!!Margin of Error!!Natural resources, construction, and maintenance occupations"
"S2406_C01_006E","Total!!Estimate!!Production, transportation, and material moving occupations"
"S2406_C01_006M","Total!!Margin of Error!!Production, transportation, and material moving occupations"
"S2406_C01_007E","Total!!Estimate!!PERCENT ALLOCATED!!Occupation"
"S2406_C01_007M","Total!!Margin of Error!!PERCENT ALLOCATED!!Occupation"
"S2406_C02_001E","Employee of private company workers!!Estimate!!Civilian employed population 16 years and over"
"S2406_C02_001M","Employee of private company workers!!Margin of Error!!Civilian employed population 16 years and over"
"S2406_C02_002E","Employee of private company workers!!Estimate!!Management, business, science, and arts occupations"
"S2406_C02_002M","Employee of private company workers!!Margin of Error!!Management, business, science, and arts occupations"
"S2406_C02_003E","Employee of private company workers!!Estimate!!Service occupations"
"S2406_C02_003M","Employee of private company workers!!Margin of Error!!Service occupations"
"S2406_C02_004E","Employee of private company workers!!Estimate!!Sales and office occupations"
"S2406_C02_004M","Employee of private company workers!!Margin of Error!!Sales and office occupations"
"S2406_C02_005E","Employee of private company workers!!Estimate!!Natural resources, construction, and maintenance occupations"
"S2406_C02_005M","Employee of private company workers!!Margin of Error!!Natural resources, construction, and maintenance occupations"
"S2406_C02_006E","Employee of private company workers!!Estimate!!Production, transportation, and material moving occupations"
"S2406_C02_006M","Employee of private company workers!!Margin of Error!!Production, transportation, and material moving occupations"
"S2406_C02_007E","Employee of private company workers!!Estimate!!PERCENT ALLOCATED!!Occupation"
"S2406_C02_007M","Employee of private company workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation"
"S2406_C03_001E","Self-employed in own incorporated business workers!!Estimate!!Civilian employed population 16 years and over"
"S2406_C03_001M","Self-employed in own incorporated business workers!!Margin of Error!!Civilian employed population 16 years and over"
"S2406_C03_002E","Self-employed in own incorporated business workers!!Estimate!!Management, business, science, and arts occupations"
"S2406_C03_002M","Self-employed in own incorporated business workers!!Margin of Error!!Management, business, science, and arts occupations"
"S2406_C03_003E","Self-employed in own incorporated business workers!!Estimate!!Service occupations"
"S2406_C03_003M","Self-employed in own incorporated business workers!!Margin of Error!!Service occupations"
"S2406_C03_004E","Self-employed in own incorporated business workers!!Estimate!!Sales and office occupations"
"S2406_C03_004M","Self-employed in own incorporated business workers!!Margin of Error!!Sales and office occupations"
"S2406_C03_005E","Self-employed in own incorporated business workers!!Estimate!!Natural resources, construction, and maintenance occupations"
