,State,County_x,Agency Name,Offense Description,Min. year of year_x,Offense Count_x,County_y,Min. year of year_y,Offense Count_y,County,Min. year of year,Offense Count
0,WI,Adams,Rome Town PD,Simple Assault,2018,11,Adams,2019,8,Adams,2020,6
1,WI,Adams,Adams PD,Simple Assault,2018,2,Adams,2019,7,Adams,2020,11
2,WI,Adams,Adams Co SO,Simple Assault,2018,130,Adams,2019,131,Adams,2020,147
3,WI,Adams,Rome Town PD,Arson,2018,1,Adams,2019,0,Adams,2020,0
4,WI,Adams,Adams PD,Arson,2018,1,Adams,2019,1,Adams,2020,0
5,WI,Adams,Adams Co SO,Arson,2018,1,Adams,2019,2,Adams,2020,0
6,WI,Adams,Rome Town PD,Motor Vehicle Theft,2018,0,Adams,2019,1,Adams,2020,0
7,WI,Adams,Adams PD,Motor Vehicle Theft,2018,2,Adams,2019,3,Adams,2020,0
8,WI,Adams,Adams Co SO,Motor Vehicle Theft,2018,8,Adams,2019,12,Adams,2020,7
9,WI,Adams,Rome Town PD,Larceny Theft,2018,6,Adams,2019,17,Adams,2020,15
10,WI,Adams,Adams PD,Larceny Theft,2018,69,Adams,2019,60,Adams,2020,33
11,WI,Adams,Adams Co SO,Larceny Theft,2018,85,Adams,2019,134,Adams,2020,140
12,WI,Adams,Rome Town PD,Burglary,2018,0,Adams,2019,6,Adams,2020,12
13,WI,Adams,Adams PD,Burglary,2018,6,Adams,2019,4,Adams,2020,2
14,WI,Adams,Adams Co SO,Burglary,2018,94,Adams,2019,109,Adams,2020,110
15,WI,Adams,Rome Town PD,Aggravated Assault,2018,3,Adams,2019,0,Adams,2020,1
16,WI,Adams,Adams PD,Aggravated Assault,2018,2,Adams,2019,2,Adams,2020,3
17,WI,Adams,Adams Co SO,Aggravated Assault,2018,26,Adams,2019,21,Adams,2020,34
18,WI,Adams,Rome Town PD,Robbery,2018,0,Adams,2019,0,Adams,2020,0
19,WI,Adams,Adams PD,Robbery,2018,1,Adams,2019,1,Adams,2020,0
20,WI,Adams,Adams Co SO,Robbery,2018,1,Adams,2019,0,Adams,2020,1
21,WI,Adams,Rome Town PD,Rape - revised 2017,2018,0,Adams,2019,4,Adams,2020,2
22,WI,Adams,Adams PD,Rape - revised 2017,2018,4,Adams,2019,6,Adams,2020,4
23,WI,Adams,Adams Co SO,Rape - revised 2017,2018,0,Adams,2019,0,Adams,2020,0
24,WI,Adams,Rome Town PD,Homicide,2018,0,Adams,2019,0,Adams,2020,0
25,WI,Adams,Adams PD,Homicide,2018,0,Adams,2019,0,Adams,2020,0
26,WI,Adams,Adams Co SO,Homicide,2018,0,Adams,2019,0,Adams,2020,0
27,WI,Ashland,Ashland PD,Simple Assault,2018,33,Ashland,2019,38,Ashland,2020,36
28,WI,Ashland,Ashland Co SO,Simple Assault,2018,2,Ashland,2019,10,Ashland,2020,5
29,WI,Ashland,Ashland PD,Arson,2018,4,Ashland,2019,1,Ashland,2020,3
30,WI,Ashland,Ashland Co SO,Arson,2018,0,Ashland,2019,0,Ashland,2020,0
31,WI,Ashland,Ashland PD,Motor Vehicle Theft,2018,17,Ashland,2019,22,Ashland,2020,34
32,WI,Ashland,Ashland Co SO,Motor Vehicle Theft,2018,1,Ashland,2019,1,Ashland,2020,8
33,WI,Ashland,Ashland PD,Larceny Theft,2018,214,Ashland,2019,240,Ashland,2020,230
34,WI,Ashland,Ashland Co SO,Larceny Theft,2018,19,Ashland,2019,29,Ashland,2020,25
35,WI,Ashland,Ashland PD,Burglary,2018,23,Ashland,2019,29,Ashland,2020,28
36,WI,Ashland,Ashland Co SO,Burglary,2018,4,Ashland,2019,11,Ashland,2020,21
37,WI,Ashland,Ashland PD,Aggravated Assault,2018,26,Ashland,2019,21,Ashland,2020,20
38,WI,Ashland,Ashland Co SO,Aggravated Assault,2018,5,Ashland,2019,19,Ashland,2020,20
39,WI,Ashland,Ashland PD,Robbery,2018,1,Ashland,2019,0,Ashland,2020,2
