County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Adams,Rome Town PD,Simple Assault,12,2018,11
Adams,Adams PD,Simple Assault,12,2018,2
Adams,Adams Co SO,Simple Assault,12,2018,130
Adams,Rome Town PD,Arson,12,2018,1
Adams,Adams PD,Arson,12,2018,1
Adams,Adams Co SO,Arson,12,2018,1
Adams,Rome Town PD,Motor Vehicle Theft,12,2018,0
Adams,Adams PD,Motor Vehicle Theft,12,2018,2
Adams,Adams Co SO,Motor Vehicle Theft,12,2018,8
Adams,Rome Town PD,Larceny Theft,12,2018,6
Adams,Adams PD,Larceny Theft,12,2018,69
Adams,Adams Co SO,Larceny Theft,12,2018,85
Adams,Rome Town PD,Burglary,12,2018,0
Adams,Adams PD,Burglary,12,2018,6
Adams,Adams Co SO,Burglary,12,2018,94
Adams,Rome Town PD,Aggravated Assault,12,2018,3
Adams,Adams PD,Aggravated Assault,12,2018,2
Adams,Adams Co SO,Aggravated Assault,12,2018,26
Adams,Rome Town PD,Robbery,12,2018,0
Adams,Adams PD,Robbery,12,2018,1
Adams,Adams Co SO,Robbery,12,2018,1
Adams,Rome Town PD,Rape - revised 2017,12,2018,0
Adams,Adams PD,Rape - revised 2017,12,2018,4
Adams,Adams Co SO,Rape - revised 2017,12,2018,0
Adams,Rome Town PD,Homicide,12,2018,0
Adams,Adams PD,Homicide,12,2018,0
Adams,Adams Co SO,Homicide,12,2018,0
Ashland,Ashland PD,Simple Assault,12,2018,33
Ashland,Ashland Co SO,Simple Assault,12,2018,2
Ashland,Ashland PD,Arson,12,2018,4
Ashland,Ashland Co SO,Arson,12,2018,0
Ashland,Ashland PD,Motor Vehicle Theft,12,2018,17
Ashland,Ashland Co SO,Motor Vehicle Theft,12,2018,1
Ashland,Ashland PD,Larceny Theft,12,2018,214
Ashland,Ashland Co SO,Larceny Theft,12,2018,19
Ashland,Ashland PD,Burglary,12,2018,23
Ashland,Ashland Co SO,Burglary,12,2018,4
Ashland,Ashland PD,Aggravated Assault,12,2018,26
Ashland,Ashland Co SO,Aggravated Assault,12,2018,5
Ashland,Ashland PD,Robbery,12,2018,1
Ashland,Ashland Co SO,Robbery,12,2018,0
Ashland,Ashland PD,Rape - revised 2017,12,2018,3
Ashland,Ashland Co SO,Rape - revised 2017,12,2018,0
Ashland,Ashland PD,Homicide,12,2018,1
Ashland,Ashland Co SO,Homicide,12,2018,0
Barron,Rice Lake PD,Simple Assault,12,2018,67
Barron,Cumberland PD,Simple Assault,12,2018,2
Barron,Chetek PD,Simple Assault,12,2018,2
Barron,Barron PD,Simple Assault,12,2018,5
Barron,Barron Co SO,Simple Assault,12,2018,43
Barron,Rice Lake PD,Arson,12,2018,0
Barron,Cumberland PD,Arson,12,2018,0
Barron,Chetek PD,Arson,12,2018,0
