County,Agency Name,Offense Description,Agency Name,County,Offense Description,Min. months_submitted,Min. year of year,Offense Count
Adams,Rome Town PD,Human Trafficking - Involuntary Servitude,Rome Town PD,Adams,Human Trafficking - Involuntary Servitude,12,2019,0
Adams,Adams PD,Human Trafficking - Involuntary Servitude,Adams PD,Adams,Human Trafficking - Involuntary Servitude,12,2019,0
Adams,Adams Co SO,Human Trafficking - Involuntary Servitude,Adams Co SO,Adams,Human Trafficking - Involuntary Servitude,12,2019,0
Adams,Rome Town PD,Human Trafficking - Commercial Sex,Rome Town PD,Adams,Human Trafficking - Commercial Sex,12,2019,0
Adams,Adams PD,Human Trafficking - Commercial Sex,Adams PD,Adams,Human Trafficking - Commercial Sex,12,2019,0
Adams,Adams Co SO,Human Trafficking - Commercial Sex,Adams Co SO,Adams,Human Trafficking - Commercial Sex,12,2019,0
Adams,Rome Town PD,Simple Assault,Rome Town PD,Adams,Simple Assault,12,2019,8
Adams,Adams PD,Simple Assault,Adams PD,Adams,Simple Assault,12,2019,7
Adams,Adams Co SO,Simple Assault,Adams Co SO,Adams,Simple Assault,12,2019,131
Adams,Rome Town PD,Arson,Rome Town PD,Adams,Arson,12,2019,0
Adams,Adams PD,Arson,Adams PD,Adams,Arson,12,2019,1
Adams,Adams Co SO,Arson,Adams Co SO,Adams,Arson,12,2019,2
Adams,Rome Town PD,Motor Vehicle Theft,Rome Town PD,Adams,Motor Vehicle Theft,12,2019,1
Adams,Adams PD,Motor Vehicle Theft,Adams PD,Adams,Motor Vehicle Theft,12,2019,3
Adams,Adams Co SO,Motor Vehicle Theft,Adams Co SO,Adams,Motor Vehicle Theft,12,2019,12
Adams,Rome Town PD,Larceny Theft,Rome Town PD,Adams,Larceny Theft,12,2019,17
Adams,Adams PD,Larceny Theft,Adams PD,Adams,Larceny Theft,12,2019,60
Adams,Adams Co SO,Larceny Theft,Adams Co SO,Adams,Larceny Theft,12,2019,134
Adams,Rome Town PD,Burglary,Rome Town PD,Adams,Burglary,12,2019,6
Adams,Adams PD,Burglary,Adams PD,Adams,Burglary,12,2019,4
Adams,Adams Co SO,Burglary,Adams Co SO,Adams,Burglary,12,2019,109
Adams,Rome Town PD,Aggravated Assault,Rome Town PD,Adams,Aggravated Assault,12,2019,0
Adams,Adams PD,Aggravated Assault,Adams PD,Adams,Aggravated Assault,12,2019,2
Adams,Adams Co SO,Aggravated Assault,Adams Co SO,Adams,Aggravated Assault,12,2019,21
Adams,Rome Town PD,Robbery,Rome Town PD,Adams,Robbery,12,2019,0
Adams,Adams PD,Robbery,Adams PD,Adams,Robbery,12,2019,1
Adams,Adams Co SO,Robbery,Adams Co SO,Adams,Robbery,12,2019,0
Adams,Rome Town PD,Rape - revised 2017,Rome Town PD,Adams,Rape - revised 2017,12,2019,4
Adams,Adams PD,Rape - revised 2017,Adams PD,Adams,Rape - revised 2017,12,2019,6
Adams,Adams Co SO,Rape - revised 2017,Adams Co SO,Adams,Rape - revised 2017,12,2019,0
Adams,Rome Town PD,Homicide,Rome Town PD,Adams,Homicide,12,2019,0
Adams,Adams PD,Homicide,Adams PD,Adams,Homicide,12,2019,0
Adams,Adams Co SO,Homicide,Adams Co SO,Adams,Homicide,12,2019,0
Ashland,Ashland PD,Human Trafficking - Involuntary Servitude,Ashland PD,Ashland,Human Trafficking - Involuntary Servitude,12,2019,0
Ashland,Ashland Co SO,Human Trafficking - Involuntary Servitude,Ashland Co SO,Ashland,Human Trafficking - Involuntary Servitude,12,2019,0
Ashland,Ashland PD,Human Trafficking - Commercial Sex,Ashland PD,Ashland,Human Trafficking - Commercial Sex,12,2019,0
Ashland,Ashland Co SO,Human Trafficking - Commercial Sex,Ashland Co SO,Ashland,Human Trafficking - Commercial Sex,12,2019,0
Ashland,Ashland PD,Simple Assault,Ashland PD,Ashland,Simple Assault,12,2019,38
Ashland,Ashland Co SO,Simple Assault,Ashland Co SO,Ashland,Simple Assault,12,2019,10
Ashland,Ashland PD,Arson,Ashland PD,Ashland,Arson,12,2019,1
Ashland,Ashland Co SO,Arson,Ashland Co SO,Ashland,Arson,12,2019,0
Ashland,Ashland PD,Motor Vehicle Theft,Ashland PD,Ashland,Motor Vehicle Theft,12,2019,22
Ashland,Ashland Co SO,Motor Vehicle Theft,Ashland Co SO,Ashland,Motor Vehicle Theft,12,2019,1
Ashland,Ashland PD,Larceny Theft,Ashland PD,Ashland,Larceny Theft,12,2019,240
Ashland,Ashland Co SO,Larceny Theft,Ashland Co SO,Ashland,Larceny Theft,12,2019,29
Ashland,Ashland PD,Burglary,Ashland PD,Ashland,Burglary,12,2019,29
Ashland,Ashland Co SO,Burglary,Ashland Co SO,Ashland,Burglary,12,2019,11
Ashland,Ashland PD,Aggravated Assault,Ashland PD,Ashland,Aggravated Assault,12,2019,21
Ashland,Ashland Co SO,Aggravated Assault,Ashland Co SO,Ashland,Aggravated Assault,12,2019,19
Ashland,Ashland PD,Robbery,Ashland PD,Ashland,Robbery,12,2019,0
Ashland,Ashland Co SO,Robbery,Ashland Co SO,Ashland,Robbery,12,2019,0
Ashland,Ashland PD,Rape - revised 2017,Ashland PD,Ashland,Rape - revised 2017,12,2019,4
Ashland,Ashland Co SO,Rape - revised 2017,Ashland Co SO,Ashland,Rape - revised 2017,12,2019,3
Ashland,Ashland PD,Homicide,Ashland PD,Ashland,Homicide,12,2019,0
Ashland,Ashland Co SO,Homicide,Ashland Co SO,Ashland,Homicide,12,2019,0
Barron,Rice Lake PD,Human Trafficking - Involuntary Servitude,Rice Lake PD,Barron,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Cumberland PD,Human Trafficking - Involuntary Servitude,Cumberland PD,Barron,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Chetek PD,Human Trafficking - Involuntary Servitude,Chetek PD,Barron,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Barron PD,Human Trafficking - Involuntary Servitude,Barron PD,Barron,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Barron Co SO,Human Trafficking - Involuntary Servitude,Barron Co SO,Barron,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Rice Lake PD,Human Trafficking - Commercial Sex,Rice Lake PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Cumberland PD,Human Trafficking - Commercial Sex,Cumberland PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Chetek PD,Human Trafficking - Commercial Sex,Chetek PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Barron PD,Human Trafficking - Commercial Sex,Barron PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Barron Co SO,Human Trafficking - Commercial Sex,Barron Co SO,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Rice Lake PD,Simple Assault,Rice Lake PD,Barron,Simple Assault,12,2019,40
Barron,Cumberland PD,Simple Assault,Cumberland PD,Barron,Simple Assault,12,2019,0
Barron,Chetek PD,Simple Assault,Chetek PD,Barron,Simple Assault,12,2019,6
Barron,Barron PD,Simple Assault,Barron PD,Barron,Simple Assault,12,2019,17
Barron,Barron Co SO,Simple Assault,Barron Co SO,Barron,Simple Assault,12,2019,31
Barron,Rice Lake PD,Arson,Rice Lake PD,Barron,Arson,12,2019,0
Barron,Cumberland PD,Arson,Cumberland PD,Barron,Arson,12,2019,0
Barron,Chetek PD,Arson,Chetek PD,Barron,Arson,12,2019,0
Barron,Barron PD,Arson,Barron PD,Barron,Arson,12,2019,0
Barron,Barron Co SO,Arson,Barron Co SO,Barron,Arson,12,2019,2
Barron,Rice Lake PD,Motor Vehicle Theft,Rice Lake PD,Barron,Motor Vehicle Theft,12,2019,3
Barron,Cumberland PD,Motor Vehicle Theft,Cumberland PD,Barron,Motor Vehicle Theft,12,2019,0
Barron,Chetek PD,Motor Vehicle Theft,Chetek PD,Barron,Motor Vehicle Theft,12,2019,2
Barron,Barron PD,Motor Vehicle Theft,Barron PD,Barron,Motor Vehicle Theft,12,2019,2
Barron,Barron Co SO,Motor Vehicle Theft,Barron Co SO,Barron,Motor Vehicle Theft,12,2019,9
Barron,Rice Lake PD,Larceny Theft,Rice Lake PD,Barron,Larceny Theft,12,2019,269
Barron,Cumberland PD,Larceny Theft,Cumberland PD,Barron,Larceny Theft,12,2019,0
Barron,Chetek PD,Larceny Theft,Chetek PD,Barron,Larceny Theft,12,2019,10
Barron,Barron PD,Larceny Theft,Barron PD,Barron,Larceny Theft,12,2019,20
Barron,Barron Co SO,Larceny Theft,Barron Co SO,Barron,Larceny Theft,12,2019,85
Barron,Rice Lake PD,Burglary,Rice Lake PD,Barron,Burglary,12,2019,12
Barron,Cumberland PD,Burglary,Cumberland PD,Barron,Burglary,12,2019,0
Barron,Chetek PD,Burglary,Chetek PD,Barron,Burglary,12,2019,0
