State,Location,2002 Both Sexes,2002 Females,2002 Males,2003 Both Sexes,2003 Females,2003 Males,2004 Both Sexes,2004 Females,2004 Males,2005 Both Sexes,2005 Females,2005 Males,2006 Both Sexes,2006 Females,2006 Males,2007 Both Sexes,2007 Females,2007 Males,2008 Both Sexes,2008 Females,2008 Males,2009 Both Sexes,2009 Females,2009 Males,2010 Both Sexes,2010 Females,2010 Males,2011 Both Sexes,2011 Females,2011 Males,2012 Both Sexes,2012 Females,2012 Males,"Percent Change 2002-2012, Both Sexes","Percent Change 2002-2012, Females","Percent Change 2002-2012, Males","Percent Change 2005-2012, Both Sexes","Percent Change 2005-2012, Females","Percent Change 2005-2012, Males"
Wisconsin,Adams County,59.8,55.0,64.8,61.5,56.5,66.6,60.0,55.4,64.7,60.8,56.7,65.0,60.6,56.9,64.5,63.5,60.0,67.1,62.3,58.8,65.9,61.4,57.7,65.3,61.8,58.7,65.0,62.5,60.0,65.1,60.3,57.9,62.8,0.9,5.3,-3.0,-0.8,2.1,-3.4
Wisconsin,Ashland County,65.5,58.2,73.1,67.5,60.3,74.8,65.0,57.9,72.3,66.2,59.6,73.0,65.4,59.1,71.9,67.1,61.2,73.3,67.5,61.1,74.2,66.5,59.7,73.6,66.8,60.6,73.4,67.7,61.9,73.8,65.2,59.5,71.0,-0.6,2.3,-2.9,-1.5,-0.1,-2.7
Wisconsin,Barron County,64.6,56.7,72.7,65.5,57.9,73.3,63.7,56.5,71.3,64.1,57.2,71.3,64.1,57.6,70.8,64.9,58.8,71.3,65.8,59.6,72.2,65.3,59.0,71.8,65.0,59.1,71.1,66.0,60.7,71.5,62.7,57.3,68.3,-2.9,1.0,-6.1,-2.2,0.2,-4.2
Wisconsin,Bayfield County,69.6,63.4,76.0,70.8,64.5,77.3,69.4,63.2,75.8,69.5,63.5,75.8,69.7,63.9,75.7,70.7,65.0,76.5,70.5,64.4,76.8,70.1,63.6,76.8,69.9,63.5,76.5,71.4,65.4,77.6,68.1,62.0,74.4,-2.2,-2.2,-2.2,-2.1,-2.4,-1.8
Wisconsin,Brown County,74.1,67.9,80.4,74.4,68.5,80.5,72.9,67.3,78.8,73.5,68.3,78.9,73.1,68.3,78.1,73.4,68.7,78.2,73.3,68.8,78.1,72.3,67.5,77.4,72.3,67.7,77.0,72.7,68.9,76.6,70.1,66.2,74.1,-5.4,-2.5,-7.9,-4.7,-3.2,-6.1
Wisconsin,Buffalo County,67.7,60.4,75.3,67.4,60.0,75.1,66.7,59.6,74.0,67.4,60.7,74.2,68.3,62.3,74.6,69.2,63.4,75.3,67.8,62.0,73.7,68.2,62.5,74.1,68.5,63.2,74.1,69.7,65.0,74.6,67.1,62.2,72.2,-0.9,3.0,-4.1,-0.4,2.4,-2.8
Wisconsin,Burnett County,65.6,59.7,71.6,66.6,60.6,72.8,64.4,58.4,70.6,64.8,59.0,70.9,63.7,57.9,69.6,64.6,58.7,70.7,66.2,60.3,72.4,65.2,58.8,71.9,66.2,59.9,72.7,67.3,61.1,73.6,64.4,58.2,70.9,-1.7,-2.5,-1.0,-0.6,-1.4,0.1
Wisconsin,Calumet County,72.8,66.3,79.6,73.6,67.3,80.2,72.8,66.7,79.2,73.3,67.4,79.4,73.5,68.1,79.1,73.7,68.3,79.3,73.6,68.2,79.3,73.6,68.0,79.3,74.0,68.9,79.4,74.1,69.4,79.0,71.9,67.0,77.0,-1.3,1.0,-3.3,-1.9,-0.7,-3.0
Wisconsin,Chippewa County,70.0,62.6,77.6,70.9,63.7,78.3,69.3,62.4,76.5,70.1,63.6,76.8,70.4,64.5,76.6,71.1,65.4,77.1,71.2,65.5,77.1,70.8,64.9,76.8,71.1,65.7,76.8,72.4,67.6,77.4,69.9,64.9,75.0,-0.1,3.7,-3.3,-0.2,2.1,-2.2
Wisconsin,Clark County,62.3,53.1,71.9,63.7,54.8,72.8,62.0,53.5,70.9,62.5,54.6,70.7,62.9,55.8,70.4,64.0,57.2,71.1,63.8,57.2,70.6,63.6,57.1,70.4,64.3,58.7,70.0,64.0,59.4,68.9,61.6,57.0,66.5,-1.1,7.4,-7.5,-1.4,4.3,-6.0
Wisconsin,Columbia County,68.5,63.4,73.8,69.3,64.3,74.5,68.3,63.4,73.4,69.0,64.2,73.9,68.7,64.3,73.3,69.5,65.0,74.2,68.7,63.9,73.7,68.2,63.3,73.3,68.5,63.8,73.3,69.1,64.9,73.4,66.7,62.2,71.3,-2.7,-1.9,-3.4,-3.3,-3.1,-3.5
Wisconsin,Crawford County,64.9,57.5,72.6,65.8,58.6,73.4,64.5,57.7,71.7,65.7,59.4,72.2,66.2,60.7,71.8,66.5,61.3,71.9,66.8,61.9,71.8,65.5,60.9,70.3,66.3,61.9,70.8,68.1,64.6,71.7,64.9,61.2,68.7,0.0,6.5,-5.4,-1.2,3.0,-4.8
Wisconsin,Dane County,74.4,69.0,80.0,74.7,69.3,80.4,73.2,67.6,78.9,73.3,67.8,78.9,73.4,68.1,78.9,73.2,67.7,78.9,73.1,67.6,78.9,72.3,66.5,78.4,72.5,66.9,78.3,72.9,67.6,78.4,70.4,64.9,76.2,-5.3,-6.0,-4.8,-3.8,-4.3,-3.4
Wisconsin,Dodge County,65.9,59.8,72.2,67.0,61.0,73.2,65.6,59.7,71.7,66.3,60.6,72.2,66.4,61.0,71.9,67.0,61.6,72.6,67.3,61.8,73.1,66.4,60.6,72.5,66.4,60.7,72.2,66.9,61.7,72.2,64.7,59.4,70.1,-1.9,-0.7,-2.9,-2.5,-2.0,-2.9
Wisconsin,Door County,71.8,66.2,77.7,71.6,66.3,77.1,70.5,65.5,75.6,71.8,67.6,76.1,71.4,67.7,75.3,72.2,68.9,75.7,71.2,67.9,74.7,71.0,67.6,74.7,69.9,66.9,72.9,70.0,68.0,72.1,67.9,66.0,69.9,-5.4,-0.3,-10.0,-5.3,-2.3,-8.1
Wisconsin,Douglas County,68.8,61.3,76.5,69.9,62.6,77.5,68.6,61.5,75.9,69.6,63.0,76.6,70.0,63.7,76.5,70.2,63.9,76.8,71.5,65.1,78.1,70.5,63.6,77.7,71.2,64.7,78.0,72.6,66.7,78.8,69.7,63.6,76.1,1.3,3.7,-0.6,0.1,1.0,-0.6
Wisconsin,Dunn County,67.1,59.5,75.1,67.5,59.8,75.5,65.8,58.2,73.7,66.4,59.2,73.8,66.4,59.6,73.5,66.4,59.7,73.5,66.5,59.5,73.7,66.3,59.1,73.7,66.2,59.3,73.3,67.4,61.2,73.9,64.3,57.8,71.1,-4.2,-2.8,-5.3,-3.1,-2.4,-3.6
Wisconsin,Eau Claire County,69.6,63.6,75.9,70.1,64.0,76.5,68.5,62.4,74.8,69.0,63.2,75.0,69.1,63.6,74.8,69.2,63.6,75.0,69.8,64.1,75.7,69.0,63.0,75.2,69.3,63.6,75.3,70.7,65.4,76.3,67.7,62.1,73.5,-2.8,-2.4,-3.1,-1.9,-1.7,-2.0
Wisconsin,Florence County,65.1,57.5,73.0,65.7,58.3,73.4,66.2,59.4,73.3,67.5,61.4,73.7,67.6,62.1,73.3,69.7,65.2,74.3,68.8,64.0,73.8,67.8,62.5,73.3,68.8,64.2,73.6,70.7,67.2,74.4,68.7,65.3,72.2,5.5,13.6,-1.1,1.8,6.3,-2.1
Wisconsin,Fond du Lac County,71.8,65.1,78.8,72.4,65.9,79.1,71.1,64.7,77.7,71.5,65.5,77.8,71.3,65.7,77.1,71.6,66.1,77.4,71.6,66.0,77.3,70.3,64.7,76.2,70.1,64.9,75.5,70.9,66.3,75.8,68.6,63.8,73.7,-4.4,-2.1,-6.4,-4.0,-2.7,-5.2
Wisconsin,Forest County,63.8,55.9,72.0,64.6,57.0,72.5,64.8,57.8,72.1,65.5,58.8,72.4,64.2,57.7,71.1,64.9,58.4,71.5,65.6,59.6,71.8,67.1,61.4,72.9,66.5,61.4,71.8,67.2,62.8,71.7,64.8,60.6,69.0,1.5,8.5,-4.1,-1.1,3.1,-4.6
Wisconsin,Grant County,69.8,59.4,80.6,70.7,60.8,80.9,68.5,58.9,78.5,68.9,60.1,78.2,69.7,61.7,78.1,70.1,62.6,77.8,69.7,62.5,77.1,69.3,62.4,76.4,68.9,62.7,75.2,69.9,64.8,75.1,67.7,62.4,73.1,-3.0,5.1,-9.2,-1.8,4.0,-6.4
Wisconsin,Green County,64.3,56.5,72.4,65.8,58.2,73.7,64.8,57.3,72.5,66.2,59.2,73.6,66.8,60.1,73.7,67.2,60.4,74.2,67.7,60.9,74.7,66.5,59.6,73.6,66.7,60.2,73.5,67.8,61.9,74.0,65.7,59.6,72.1,2.2,5.6,-0.5,-0.8,0.7,-2.0
Wisconsin,Green Lake County,68.3,61.5,75.3,68.5,61.9,75.3,67.8,61.6,74.3,68.7,63.1,74.6,67.7,62.3,73.2,68.0,62.8,73.4,68.1,63.1,73.2,66.4,61.4,71.7,66.1,61.7,70.7,67.4,63.7,71.1,65.2,61.3,69.1,-4.6,-0.3,-8.2,-5.2,-2.8,-7.4
Wisconsin,Iowa County,67.2,58.7,76.1,68.1,60.0,76.6,67.6,59.8,75.8,68.0,60.6,75.7,69.0,62.7,75.7,68.8,62.5,75.4,69.4,63.5,75.5,69.0,63.3,74.9,69.0,64.1,74.2,69.3,65.0,73.7,66.6,62.1,71.3,-0.9,5.9,-6.3,-2.0,2.5,-5.8
Wisconsin,Iron County,69.3,62.7,76.1,71.1,65.1,77.3,70.0,64.3,75.9,70.2,65.1,75.5,71.5,66.9,76.2,72.4,68.1,77.0,72.3,67.6,77.1,71.5,66.5,76.6,71.8,67.2,76.6,74.0,70.2,78.0,71.3,67.7,75.0,2.9,7.9,-1.4,1.5,4.0,-0.7
Wisconsin,Jackson County,61.8,56.0,67.8,63.8,58.0,69.8,61.9,56.2,67.8,62.8,57.3,68.6,61.8,56.7,67.1,62.9,57.7,68.3,63.1,57.5,68.9,62.9,57.0,68.9,60.9,55.4,66.6,62.4,57.4,67.7,59.4,54.3,64.7,-3.9,-3.0,-4.7,-5.5,-5.3,-5.7
Wisconsin,Jefferson County,67.3,59.4,75.4,68.2,60.6,76.1,66.7,59.3,74.5,67.4,60.2,74.9,67.6,60.9,74.6,68.2,61.4,75.3,68.4,61.7,75.4,67.1,60.2,74.3,67.0,60.4,73.9,68.1,62.0,74.4,65.9,59.6,72.4,-2.0,0.3,-3.9,-2.3,-1.0,-3.3
Wisconsin,Juneau County,62.2,54.6,70.1,63.6,56.3,71.1,62.0,54.9,69.3,61.6,55.1,68.3,63.1,57.3,69.2,65.6,60.1,71.3,64.9,59.5,70.6,64.1,58.5,69.8,64.0,59.1,69.0,64.7,60.6,68.9,62.3,58.2,66.6,0.2,6.6,-5.0,1.2,5.7,-2.5
Wisconsin,Kenosha County,64.6,58.1,71.4,65.5,58.8,72.3,64.0,57.6,70.7,65.3,59.1,71.7,65.2,59.4,71.2,65.5,59.5,71.7,66.3,60.2,72.7,65.0,58.5,71.7,65.1,58.7,71.7,66.0,60.0,72.2,64.1,57.9,70.5,-0.8,-0.3,-1.3,-1.9,-2.1,-1.7
Wisconsin,Kewaunee County,71.1,65.0,77.5,72.5,66.6,78.6,71.1,65.3,77.2,71.2,65.6,77.0,72.0,66.8,77.4,71.9,66.6,77.3,72.3,67.0,77.7,71.7,66.2,77.3,71.5,66.3,76.9,72.2,67.5,77.0,70.0,65.4,74.8,-1.6,0.6,-3.5,-1.7,-0.3,-2.9
Wisconsin,La Crosse County,72.3,65.9,78.9,72.6,66.2,79.1,71.0,64.8,77.4,71.3,65.4,77.5,71.5,65.9,77.2,71.7,66.2,77.4,72.1,66.7,77.8,71.9,66.4,77.6,72.4,67.3,77.6,72.8,68.4,77.3,70.2,65.7,75.0,-2.8,-0.3,-5.0,-1.5,0.4,-3.2
Wisconsin,Lafayette County,65.0,55.7,74.7,65.2,56.2,74.6,64.4,55.8,73.3,65.0,57.0,73.4,65.8,58.6,73.2,66.6,59.8,73.7,66.4,59.9,73.2,65.5,59.1,72.1,66.4,60.9,72.1,67.6,63.0,72.3,64.8,59.8,70.0,-0.4,7.3,-6.3,-0.4,4.9,-4.6
