State,County,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,Less_than_a_high_school_diploma_1970,High_school_diploma_only_1970,Some_college_1970,Four_years_of_college_or_higher_1970,Percent_less_than_a_high_school_diploma_1970,Percent_high_school_diploma_only_1970,Percent_some_college_1970,Percent_bachelors_degree_or_higher_1970,Less_than_a_high_school_diploma_1980,High_school_diploma_only_1980,Some_college_1980,Four_years_of_college_or_higher_1980,Percent_less_than_a_high_school_diploma_1980,Percent_high_school_diploma_only_1980,Percent_some_college_1980,Percent_bachelors_degree_or_higher_1980,Less_than_a_high_school_diploma_1990,High_school_diploma_only_1990,Some_college_or_associates_degree_1990,Bachelors_degree_or_higher_1990,Percent_less_than_a_high_school_diploma_1990,Percent_high_school_diploma_only_1990,Percent_some_college_or_associates_degree_1990,Percent_bachelors_degree_or_higher_1990,Less_than_a_high_school_diploma_2000,High_school_diploma_only_2000,Some_college_or_associates_degree_2000,Bachelors_degree_or_higher_2000,Percent_less_than_a_high_school_diploma_2000,Percent_high_school_diploma_only_2000,Percent_some_college_or_associates_degree_2000,Percent_bachelors_degree_or_higher_2000,Less_than_a_high_school_diploma_2015_19,High_school_diploma_only_2015_19,Some_college_or_associates_degree_2015_19,Bachelors_degree_or_higher_2015_19,Percent_less_than_a_high_school_diploma_2015_19,Percent_high_school_diploma_only_2015_19,Percent_some_college_or_associates_degree_2015_19,Percent_bachelors_degree_or_higher_2015_19
WI,Adams,8,7,8,6,3342,1494,329,259,61.6,27.5,6.1,4.8,3728,3336,1030,645,42.7,38.2,11.8,7.4,3757,4534,2245,842,33,39.8,19.7,7.4,3202,5755,3404,1369,23.3,41.9,24.8,10,2013,6856,5006,2231,12.5,42.6,31.1,13.9
WI,Ashland,7,11,7,11,4895,2758,921,694,52.8,29.8,9.9,7.5,3403,3957,1363,1209,34.3,39.8,13.7,12.2,2534,4049,2367,1312,24.7,39.5,23.1,12.8,1697,4322,2888,1761,15.9,40.5,27.1,16.5,828,3946,3772,2114,7.8,37,35.4,19.8
WI,Barron,6,6,6,6,10659,5672,1565,1235,55.7,29.6,8.2,6.5,8571,8778,3187,2378,37.4,38.3,13.9,10.4,7080,10161,5879,3078,27,38.8,22.4,11.7,5281,11816,8392,4453,17.6,39.5,28,14.9,3162,11654,10801,6644,9.8,36.1,33.5,20.6
WI,Bayfield,8,7,8,6,3590,2334,630,324,52.2,33.9,9.2,4.7,2728,3428,1240,1161,31.9,40.1,14.5,13.6,2021,3392,2286,1719,21.5,36,24.3,18.3,1374,3598,3283,2271,13.1,34.2,31.2,21.6,567,3351,4005,3576,4.9,29.1,34.8,31.1
WI,Brown,2,2,2,2,31527,30188,6848,7259,41.6,39.8,9,9.6,24827,43112,13424,13766,26.1,45.3,14.1,14.5,20927,48840,29488,21320,17.4,40.5,24.5,17.7,19743,50311,41729,32389,13.7,34.9,28.9,22.5,13787,52162,55776,52901,7.9,29.9,31.9,30.3
WI,Buffalo,8,6,8,6,4071,2262,821,462,53.5,29.7,10.8,6.1,3302,3335,1048,748,39.2,39.5,12.4,8.9,2443,3745,1764,966,27.4,42,19.8,10.8,1488,4110,2468,1318,15.9,43.8,26.3,14,872,3858,2979,1841,9.1,40.4,31.2,19.3
WI,Burnett,8,4,8,4,3410,1695,400,286,58.9,29.3,6.9,4.9,3064,3282,888,614,39,41.8,11.3,7.8,2507,4049,1682,807,27.7,44.8,18.6,8.9,1944,4811,2941,1577,17.2,42.7,26.1,14,801,4272,4222,2440,6.8,36.4,36,20.8
WI,Calumet,3,2,3,2,6706,4834,884,805,50.7,36.5,6.7,6.1,5536,7430,1800,1745,33.5,45,10.9,10.6,4260,9772,4208,2700,20.3,46.7,20.1,12.9,3304,10575,6774,5415,12.7,40.6,26,20.8,1989,10681,11357,10027,5.8,31.4,33.3,29.4
WI,Chippewa,3,2,3,2,12862,8333,1943,1468,52.3,33.9,7.9,6,10712,12707,3216,2729,36.5,43.3,11,9.3,8323,14639,6656,3577,25.1,44.1,20.1,10.8,5718,14885,10399,5328,15.7,41,28.6,14.7,3269,15993,16451,9468,7.2,35.4,36.4,21
WI,Clark,8,6,6,6,9735,5065,1101,779,58.4,30.4,6.6,4.7,8286,7365,1873,1398,43.8,38.9,9.9,7.4,6396,8518,3086,1702,32.5,43.2,15.7,8.6,5169,8951,4704,2167,24.6,42.6,22.4,10.3,3846,8634,6490,2725,17.7,39.8,29.9,12.6
WI,Columbia,2,2,2,2,10125,8310,2444,1595,45.1,37,10.9,7.1,8047,11347,3831,2911,30.8,43.4,14.7,11.1,6445,12133,7236,3823,21.7,40.9,24.4,12.9,4904,14108,10576,5941,13.8,39.7,29.8,16.7,2948,13642,14453,9427,7.3,33.7,35.7,23.3
WI,Crawford,7,9,7,9,4693,2565,635,510,55.8,30.5,7.6,6.1,3647,3899,1153,963,37.7,40.4,11.9,10,2807,4445,1816,1101,27.6,43.7,17.9,10.8,2115,4802,2895,1489,18.7,42.5,25.6,13.2,1013,4644,3891,2159,8.7,39.7,33.2,18.4
WI,Dane,2,2,2,2,39825,48217,18314,31965,28.8,34.9,13.2,23.1,29431,61259,34457,55877,16.3,33.8,19,30.9,25086,61115,62596,77176,11.1,27,27.7,34.2,21177,60220,78878,109723,7.8,22.3,29.2,40.6,14817,62744,94026,181123,4.2,17.8,26.7,51.4
WI,Dodge,4,3,4,3,20848,11953,2850,2267,55,31.5,7.5,6,16924,18544,4719,4085,38.2,41.9,10.7,9.2,13776,21602,9238,5078,27.7,43.5,18.6,10.2,10153,25031,14667,7602,17.7,43.6,25.5,13.2,5820,25813,20773,10737,9.2,40.9,32.9,17
