State,County,_2003_Rural_urban_Continuum_Code,_2003_Urban_Influence_Code,_2013_Rural_urban_Continuum_Code,_2013_Urban_Influence_Code,Less_than_a_high_school_diploma_1970,High_school_diploma_only_1970,Some_college_1970,Four_years_of_college_or_higher_1970,Percent_less_than_a_high_school_diploma_1970,Percent_high_school_diploma_only_1970,Percent_completing_some_college_1970,Percent_completing_four_years_of_college_or_higher_1970,Less_than_a_high_school_diploma_1980,High_school_diploma_only_1980,Some_college_1980,Four_years_of_college_or_higher_1980,Percent_less_than_a_high_school_diploma_1980,Percent_high_school_diploma_only_1980,Percent_completing_some_college_1980,Percent_completing_four_years_of_college_or_higher_1980,Less_than_a_high_school_diploma_1990,High_school_diploma_only_1990,Some_college_or_associates_degree_1990,Bachelors_degree_or_higher_1990,Percent_less_than_a_high_school_diploma_1990,Percent_high_school_diploma_only_1990,Percent_completing_some_college_or_associates_degree_1990,Percent_bachelors_degree_or_higher_1990,Less_than_a_high_school_diploma_2000,High_school_diploma_only_2000,Some_college_or_associates_degree_2000,Bachelors_degree_or_higher_2000,Percent_less_than_a_high_school_diploma_2000,Percent_high_school_diploma_only_2000,Percent_completing_some_college_or_associates_degree_2000,Percent_bachelors_degree_or_higher_2000,Less_than_a_high_school_diploma_2015_19,High_school_diploma_only_2015_19,Some_college_or_associates_degree_2015_19,Bachelors_degree_or_higher_2015_19,Percent_less_than_a_high_school_diploma_2015_19,Percent_high_school_diploma_only_2015_19,Percent_completing_some_college_or_associates_degree_2015_19,Percent_bachelors_degree_or_higher_2015_19
WI,Adams,8,7,8,6,"3,342","1,494",329,259,61.6,27.5,6.1,4.8,"3,728","3,336","1,030",645,42.7,38.2,11.8,7.4,"3,757","4,534","2,245",842,33,39.8,19.7,7.4,"3,202","5,755","3,404","1,369",23.3,41.9,24.8,10,"2,013","6,856","5,006","2,231",12.5,42.6,31.1,13.9
WI,Ashland,7,11,7,11,"4,895","2,758",921,694,52.8,29.8,9.9,7.5,"3,403","3,957","1,363","1,209",34.3,39.8,13.7,12.2,"2,534","4,049","2,367","1,312",24.7,39.5,23.1,12.8,"1,697","4,322","2,888","1,761",15.9,40.5,27.1,16.5,828,"3,946","3,772","2,114",7.8,37,35.4,19.8
WI,Barron,6,6,6,6,"10,659","5,672","1,565","1,235",55.7,29.6,8.2,6.5,"8,571","8,778","3,187","2,378",37.4,38.3,13.9,10.4,"7,080","10,161","5,879","3,078",27,38.8,22.4,11.7,"5,281","11,816","8,392","4,453",17.6,39.5,28,14.9,"3,162","11,654","10,801","6,644",9.8,36.1,33.5,20.6
WI,Bayfield,8,7,8,6,"3,590","2,334",630,324,52.2,33.9,9.2,4.7,"2,728","3,428","1,240","1,161",31.9,40.1,14.5,13.6,"2,021","3,392","2,286","1,719",21.5,36,24.3,18.3,"1,374","3,598","3,283","2,271",13.1,34.2,31.2,21.6,567,"3,351","4,005","3,576",4.9,29.1,34.8,31.1
WI,Brown,2,2,2,2,"31,527","30,188","6,848","7,259",41.6,39.8,9,9.6,"24,827","43,112","13,424","13,766",26.1,45.3,14.1,14.5,"20,927","48,840","29,488","21,320",17.4,40.5,24.5,17.7,"19,743","50,311","41,729","32,389",13.7,34.9,28.9,22.5,"13,787","52,162","55,776","52,901",7.9,29.9,31.9,30.3
WI,Buffalo,8,6,8,6,"4,071","2,262",821,462,53.5,29.7,10.8,6.1,"3,302","3,335","1,048",748,39.2,39.5,12.4,8.9,"2,443","3,745","1,764",966,27.4,42,19.8,10.8,"1,488","4,110","2,468","1,318",15.9,43.8,26.3,14,872,"3,858","2,979","1,841",9.1,40.4,31.2,19.3
WI,Burnett,8,4,8,4,"3,410","1,695",400,286,58.9,29.3,6.9,4.9,"3,064","3,282",888,614,39,41.8,11.3,7.8,"2,507","4,049","1,682",807,27.7,44.8,18.6,8.9,"1,944","4,811","2,941","1,577",17.2,42.7,26.1,14,801,"4,272","4,222","2,440",6.8,36.4,36,20.8
WI,Calumet,3,2,3,2,"6,706","4,834",884,805,50.7,36.5,6.7,6.1,"5,536","7,430","1,800","1,745",33.5,45,10.9,10.6,"4,260","9,772","4,208","2,700",20.3,46.7,20.1,12.9,"3,304","10,575","6,774","5,415",12.7,40.6,26,20.8,"1,989","10,681","11,357","10,027",5.8,31.4,33.3,29.4
WI,Chippewa,3,2,3,2,"12,862","8,333","1,943","1,468",52.3,33.9,7.9,6,"10,712","12,707","3,216","2,729",36.5,43.3,11,9.3,"8,323","14,639","6,656","3,577",25.1,44.1,20.1,10.8,"5,718","14,885","10,399","5,328",15.7,41,28.6,14.7,"3,269","15,993","16,451","9,468",7.2,35.4,36.4,21
WI,Clark,8,6,6,6,"9,735","5,065","1,101",779,58.4,30.4,6.6,4.7,"8,286","7,365","1,873","1,398",43.8,38.9,9.9,7.4,"6,396","8,518","3,086","1,702",32.5,43.2,15.7,8.6,"5,169","8,951","4,704","2,167",24.6,42.6,22.4,10.3,"3,846","8,634","6,490","2,725",17.7,39.8,29.9,12.6
WI,Columbia,2,2,2,2,"10,125","8,310","2,444","1,595",45.1,37,10.9,7.1,"8,047","11,347","3,831","2,911",30.8,43.4,14.7,11.1,"6,445","12,133","7,236","3,823",21.7,40.9,24.4,12.9,"4,904","14,108","10,576","5,941",13.8,39.7,29.8,16.7,"2,948","13,642","14,453","9,427",7.3,33.7,35.7,23.3
WI,Crawford,7,9,7,9,"4,693","2,565",635,510,55.8,30.5,7.6,6.1,"3,647","3,899","1,153",963,37.7,40.4,11.9,10,"2,807","4,445","1,816","1,101",27.6,43.7,17.9,10.8,"2,115","4,802","2,895","1,489",18.7,42.5,25.6,13.2,"1,013","4,644","3,891","2,159",8.7,39.7,33.2,18.4
