County,Real_GDP_2017,Real_GDP_2018,Real_GDP_2019,Real_GDP_2020,Rank_in_State_2020,Percent_change_2018,Percent_change_2019,Percent_change2020,Change_Rank_in_State_2020
Adams,505872,516924,532566,545866,61,2.2,3,2.5,4
Ashland,663580,657888,674573,627256,55,-0.9,2.5,-7,63
Barron,1944367,2074333,1980728,1933072,29,6.7,-4.5,-2.4,21
Bayfield,398512,417756,419615,396347,66,4.8,0.4,-5.5,56
Brown,16365318,16938177,16948230,16148050,4,3.5,0.1,-4.7,50
Buffalo,442365,504924,448784,482086,64,14.1,-11.1,7.4,1
Burnett,483545,476147,485969,475245,65,-1.5,2.1,-2.2,16
Calumet,1478651,1511348,1544541,1504719,36,2.2,2.2,-2.6,23
Chippewa,2493814,2587086,2698020,2672314,25,3.7,4.3,-1,12
Clark,1343432,1396691,1418479,1293271,38,4,1.6,-8.8,66
Columbia,2617204,2643395,2598307,2540063,26,1,-1.7,-2.2,18
Crawford,704961,692081,679143,654376,54,-1.8,-1.9,-3.6,35
Dane,38090057,39615075,40879006,39762409,2,4,3.2,-2.7,24
Dodge,3334601,3350475,3356258,3328032,22,0.5,0.2,-0.8,11
Door,1172655,1209599,1225342,1170157,41,3.2,1.3,-4.5,47
Douglas,1956738,1709864,1730178,1666269,33,-12.6,1.2,-3.7,37
Dunn,1636615,1674493,1698717,1703772,32,2.3,1.4,0.3,7
EauClaire,5657612,5808447,5920439,5675015,14,2.7,1.9,-4.1,43
Florence,120028,113876,134261,118284,72,-5.1,17.9,-11.9,71
FondduLac,4714795,4776844,4844569,4589060,16,1.3,1.4,-5.3,53
Forest,301185,293540,283358,258107,69,-2.5,-3.5,-8.9,67
Grant,2091972,2190685,2190118,2106613,27,4.7,0,-3.8,38
Green,1555960,1632332,1670052,1630984,34,4.9,2.3,-2.3,19
GreenLake,581672,599463,578742,577433,59,3.1,-3.5,-0.2,9
Iowa,956096,1009725,1022840,1037643,44,5.6,1.3,1.4,5
Iron,167972,157687,163936,153000,70,-6.1,4,-6.7,61
Jackson,815773,871881,810108,754391,51,6.9,-7.1,-6.9,62
Jefferson,3279133,3198147,3263417,3111175,24,-2.5,2,-4.7,49
Juneau,848965,843077,870455,836336,47,-0.7,3.2,-3.9,40
Kenosha,6439256,6412786,6404892,6360934,11,-0.4,-0.1,-0.7,10
Kewaunee,878435,863192,866477,756928,50,-1.7,0.4,-12.6,72
LaCrosse,6603861,6762734,6859464,6574368,10,2.4,1.4,-4.2,44
Lafayette,555699,588323,572128,597346,56,5.9,-2.8,4.4,3
Langlade,709157,704819,701086,679209,52,-0.6,-0.5,-3.1,28
Lincoln,1318881,1249895,1231413,1117980,42,-5.2,-1.5,-9.2,68
Manitowoc,3749943,3650283,3690268,3554159,21,-2.7,1.1,-3.7,36
Marathon,7578639,7802879,8151531,7774222,7,3,4.5,-4.6,48
Marinette,1790027,1866461,1866945,1801756,31,4.3,0,-3.5,33
Marquette,382355,402349,404332,384874,67,5.2,0.5,-4.8,52
Menominee,141753,143357,149457,134353,71,1.1,4.3,-10.1,69
Milwaukee,51341190,52470488,52958592,50038904,1,2.2,0.9,-5.5,55
Monroe,2127746,2210658,2140411,2052068,28,3.9,-3.2,-4.1,41
Oconto,953238,973009,1001617,947095,46,2.1,2.9,-5.4,54
Oneida,1513520,1604047,1560208,1505301,35,6,-2.7,-3.5,34
Outagamie,11114102,11566243,11839511,11331407,5,4.1,2.4,-4.3,45
Ozaukee,4842185,4874533,4981660,4788860,15,0.7,2.2,-3.9,39
Pepin,252227,253603,258933,270884,68,0.5,2.1,4.6,2
Pierce,1055322,1130772,1082541,1095230,43,7.1,-4.3,1.2,6
Polk,1433956,1434097,1464080,1431579,37,0,2.1,-2.2,17
Portage,3595791,3733464,3871435,3699930,18,3.8,3.7,-4.4,46
Price,585794,564832,574815,541486,62,-3.6,1.8,-5.8,59
Racine,7314828,7416481,7328811,7079117,8,1.4,-1.2,-3.4,31
Richland,710590,682022,731935,667432,53,-4,7.3,-8.8,65
Rock,6203773,6554894,6847338,6699177,9,5.7,4.5,-2.2,15
Rusk,541289,516929,531227,497322,63,-4.5,2.8,-6.4,60
St.Croix,3507859,3608407,3641553,3600070,19,2.9,0.9,-1.1,13
Sauk,3304303,3408211,3581017,3200415,23,3.1,5.1,-10.6,70
Sawyer,601891,577722,612093,594006,57,-4,5.9,-3,27
Shawano,1274372,1300889,1331621,1255543,39,2.1,2.4,-5.7,57
Sheboygan,6508920,6621515,6503641,6277392,12,1.7,-1.8,-3.5,32
Taylor,844108,832811,840199,823094,48,-1.3,0.9,-2,14
Trempealeau,1281068,1280513,1278332,1182907,40,0,-0.2,-7.5,64
Vernon,1041780,1062809,1013205,983965,45,2,-4.7,-2.9,25
Vilas,866826,899390,837370,810592,49,3.8,-6.9,-3.2,29
Walworth,3904095,3977878,4026693,3908353,17,1.9,1.2,-2.9,26
Washburn,544705,541871,548091,547777,60,-0.5,1.1,-0.1,8
Washington,5903218,6123235,6157756,5955195,13,3.7,0.6,-3.3,30
Waukesha,27088218,27785889,28533170,27181717,3,2.6,2.7,-4.7,51
Waupaca,1888758,1907508,1892753,1847360,30,1,-0.8,-2.4,20
Waushara,569113,598249,623833,587824,58,5.1,4.3,-5.8,58
Winnebago,9213662,9492021,9704179,9302102,6,3,2.2,-4.1,42
Wood,3549292,3542052,3683297,3588744,20,-0.2,4,-2.6,22
