County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Adams,Rome Town PD,Human Trafficking - Involuntary Servitude,12,2020,0
Adams,Adams PD,Human Trafficking - Involuntary Servitude,12,2020,0
Adams,Adams Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Adams,Rome Town PD,Human Trafficking - Commercial Sex,12,2020,0
Adams,Adams PD,Human Trafficking - Commercial Sex,12,2020,1
Adams,Adams Co SO,Human Trafficking - Commercial Sex,12,2020,0
Adams,Rome Town PD,Simple Assault,12,2020,6
Adams,Adams PD,Simple Assault,12,2020,11
Adams,Adams Co SO,Simple Assault,12,2020,147
Adams,Rome Town PD,Arson,12,2020,0
Adams,Adams PD,Arson,12,2020,0
Adams,Adams Co SO,Arson,12,2020,0
Adams,Rome Town PD,Motor Vehicle Theft,12,2020,0
Adams,Adams PD,Motor Vehicle Theft,12,2020,0
Adams,Adams Co SO,Motor Vehicle Theft,12,2020,7
Adams,Rome Town PD,Larceny Theft,12,2020,15
Adams,Adams PD,Larceny Theft,12,2020,33
Adams,Adams Co SO,Larceny Theft,12,2020,140
Adams,Rome Town PD,Burglary,12,2020,12
Adams,Adams PD,Burglary,12,2020,2
Adams,Adams Co SO,Burglary,12,2020,110
Adams,Rome Town PD,Aggravated Assault,12,2020,1
Adams,Adams PD,Aggravated Assault,12,2020,3
Adams,Adams Co SO,Aggravated Assault,12,2020,34
Adams,Rome Town PD,Robbery,12,2020,0
Adams,Adams PD,Robbery,12,2020,0
Adams,Adams Co SO,Robbery,12,2020,1
Adams,Rome Town PD,Rape - revised 2017,12,2020,2
Adams,Adams PD,Rape - revised 2017,12,2020,4
Adams,Adams Co SO,Rape - revised 2017,12,2020,0
Adams,Rome Town PD,Homicide,12,2020,0
Adams,Adams PD,Homicide,12,2020,0
Adams,Adams Co SO,Homicide,12,2020,0
Ashland,Ashland PD,Human Trafficking - Involuntary Servitude,12,2020,0
Ashland,Ashland Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Ashland,Ashland PD,Human Trafficking - Commercial Sex,12,2020,0
Ashland,Ashland Co SO,Human Trafficking - Commercial Sex,12,2020,0
Ashland,Ashland PD,Simple Assault,12,2020,36
Ashland,Ashland Co SO,Simple Assault,12,2020,5
Ashland,Ashland PD,Arson,12,2020,3
Ashland,Ashland Co SO,Arson,12,2020,0
Ashland,Ashland PD,Motor Vehicle Theft,12,2020,34
Ashland,Ashland Co SO,Motor Vehicle Theft,12,2020,8
Ashland,Ashland PD,Larceny Theft,12,2020,230
Ashland,Ashland Co SO,Larceny Theft,12,2020,25
Ashland,Ashland PD,Burglary,12,2020,28
Ashland,Ashland Co SO,Burglary,12,2020,21
Ashland,Ashland PD,Aggravated Assault,12,2020,20
Ashland,Ashland Co SO,Aggravated Assault,12,2020,20
Ashland,Ashland PD,Robbery,12,2020,2
Ashland,Ashland Co SO,Robbery,12,2020,0
Ashland,Ashland PD,Rape - revised 2017,12,2020,6
Ashland,Ashland Co SO,Rape - revised 2017,12,2020,0
Ashland,Ashland PD,Homicide,12,2020,0
Ashland,Ashland Co SO,Homicide,12,2020,0
Barron,Rice Lake PD,Human Trafficking - Involuntary Servitude,12,2020,0
Barron,Cumberland PD,Human Trafficking - Involuntary Servitude,12,2020,0
Barron,Chetek PD,Human Trafficking - Involuntary Servitude,12,2020,0
Barron,Barron PD,Human Trafficking - Involuntary Servitude,12,2020,0
Barron,Barron Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Barron,Rice Lake PD,Human Trafficking - Commercial Sex,12,2020,0
Barron,Cumberland PD,Human Trafficking - Commercial Sex,12,2020,0
Barron,Chetek PD,Human Trafficking - Commercial Sex,12,2020,0
Barron,Barron PD,Human Trafficking - Commercial Sex,12,2020,0
Barron,Barron Co SO,Human Trafficking - Commercial Sex,12,2020,0
Barron,Rice Lake PD,Simple Assault,12,2020,55
Barron,Cumberland PD,Simple Assault,12,2020,1
Barron,Chetek PD,Simple Assault,12,2020,1
Barron,Barron PD,Simple Assault,12,2020,15
Barron,Barron Co SO,Simple Assault,12,2020,33
Barron,Rice Lake PD,Arson,12,2020,0
Barron,Cumberland PD,Arson,12,2020,0
Barron,Chetek PD,Arson,12,2020,1
Barron,Barron PD,Arson,12,2020,0
Barron,Barron Co SO,Arson,12,2020,1
Barron,Rice Lake PD,Motor Vehicle Theft,12,2020,10
Barron,Cumberland PD,Motor Vehicle Theft,12,2020,1
Barron,Chetek PD,Motor Vehicle Theft,12,2020,0
Barron,Barron PD,Motor Vehicle Theft,12,2020,3
Barron,Barron Co SO,Motor Vehicle Theft,12,2020,15
Barron,Rice Lake PD,Larceny Theft,12,2020,199
Barron,Cumberland PD,Larceny Theft,12,2020,0
Barron,Chetek PD,Larceny Theft,12,2020,4
Barron,Barron PD,Larceny Theft,12,2020,17
Barron,Barron Co SO,Larceny Theft,12,2020,73
Barron,Rice Lake PD,Burglary,12,2020,5
Barron,Cumberland PD,Burglary,12,2020,0
Barron,Chetek PD,Burglary,12,2020,1
Barron,Barron PD,Burglary,12,2020,1
Barron,Barron Co SO,Burglary,12,2020,40
Barron,Rice Lake PD,Aggravated Assault,12,2020,32
Barron,Cumberland PD,Aggravated Assault,12,2020,1
Barron,Chetek PD,Aggravated Assault,12,2020,4
Barron,Barron PD,Aggravated Assault,12,2020,5
Barron,Barron Co SO,Aggravated Assault,12,2020,17
Barron,Rice Lake PD,Robbery,12,2020,1
Barron,Cumberland PD,Robbery,12,2020,0
Barron,Chetek PD,Robbery,12,2020,0
Barron,Barron PD,Robbery,12,2020,0
Barron,Barron Co SO,Robbery,12,2020,0
Barron,Rice Lake PD,Rape - revised 2017,12,2020,8
Barron,Cumberland PD,Rape - revised 2017,12,2020,0
Barron,Chetek PD,Rape - revised 2017,12,2020,0
Barron,Barron PD,Rape - revised 2017,12,2020,1
Barron,Barron Co SO,Rape - revised 2017,12,2020,5
Barron,Rice Lake PD,Homicide,12,2020,0
Barron,Cumberland PD,Homicide,12,2020,0
Barron,Chetek PD,Homicide,12,2020,0
Barron,Barron PD,Homicide,12,2020,1
Barron,Barron Co SO,Homicide,12,2020,1
Bayfield,Washburn PD,Human Trafficking - Involuntary Servitude,12,2020,0
Bayfield,Iron River PD,Human Trafficking - Involuntary Servitude,12,2020,0
Bayfield,Bayfield PD,Human Trafficking - Involuntary Servitude,12,2020,0
Bayfield,Bayfield Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Bayfield,Washburn PD,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Iron River PD,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Bayfield PD,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Bayfield Co SO,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Washburn PD,Simple Assault,12,2020,1
Bayfield,Iron River PD,Simple Assault,12,2020,3
Bayfield,Bayfield PD,Simple Assault,12,2020,1
Bayfield,Bayfield Co SO,Simple Assault,12,2020,6
Bayfield,Washburn PD,Arson,12,2020,0
Bayfield,Iron River PD,Arson,12,2020,0
Bayfield,Bayfield PD,Arson,12,2020,0
Bayfield,Bayfield Co SO,Arson,12,2020,2
Bayfield,Washburn PD,Motor Vehicle Theft,12,2020,0
Bayfield,Iron River PD,Motor Vehicle Theft,12,2020,0
Bayfield,Bayfield PD,Motor Vehicle Theft,12,2020,0
Bayfield,Bayfield Co SO,Motor Vehicle Theft,12,2020,10
Bayfield,Washburn PD,Larceny Theft,12,2020,7
Bayfield,Iron River PD,Larceny Theft,12,2020,7
Bayfield,Bayfield PD,Larceny Theft,12,2020,13
Bayfield,Bayfield Co SO,Larceny Theft,12,2020,65
