State,County,Population_1990,Population_2000,Population_2010,Population_2020
WI,Adams,15682,19940,20875,20654
WI,Ashland,16307,16845,16157,16027
WI,Barron,40750,44961,45870,46711
WI,Bayfield,14008,15027,15014,16220
WI,Brown,194594,226633,248007,268740
WI,Buffalo,13584,13797,13587,13317
WI,Burnett,13084,15650,15457,16526
WI,Calumet,34291,40683,48971,52442
WI,Chippewa,52360,55217,62415,66297
WI,Clark,31647,33548,34690,34659
WI,Columbia,45088,52510,56833,58490
WI,Crawford,15940,17241,16644,16113
WI,Dane,367085,426475,488073,561504
WI,Dodge,76559,85851,88759,89396
WI,Door,25690,27957,27785,30066
WI,Douglas,41758,43288,44159,44295
WI,Dunn,35909,39853,43857,45440
WI,EauClaire,85183,93128,98736,105710
WI,Florence,4590,5079,4423,4558
WI,FondduLac,90083,97284,101633,104154
WI,Forest,8776,10027,9304,9179
WI,Grant,49266,49590,51208,51938
WI,Green,30339,33678,36842,37093
WI,GreenLake,18651,19115,19051,19018
WI,Iowa,20150,22790,23687,23709
WI,Iron,6153,6863,5916,6137
WI,Jackson,16588,19091,20449,21145
WI,Jefferson,67783,75855,83686,84900
WI,Juneau,21650,24323,26664,26718
WI,Kenosha,128181,149584,166426,169151
WI,Kewaunee,18878,20199,20574,20563
WI,LaCrosse,97904,107156,114638,120784
WI,Lafayette,16074,16149,16836,16611
WI,Langlade,19505,20743,19977,19491
WI,Lincoln,26993,29625,28743,28415
WI,Manitowoc,80421,82907,81442,81359
WI,Marathon,115400,125908,134063,138013
WI,Marinette,40548,43392,41749,41872
WI,Marquette,12321,14539,15404,15592
WI,Menominee,4075,4554,4232,4255
WI,Milwaukee,959212,940127,947735,939489
WI,Monroe,36633,40885,44673,46274
WI,Oconto,30226,35657,37660,38965
WI,Oneida,31679,36736,35998,37845
WI,Outagamie,140510,161090,176695,190705
WI,Ozaukee,72894,82322,86395,91503
WI,Pepin,7107,7314,7469,7318
WI,Pierce,32765,36726,41019,42212
WI,Polk,34773,41322,44205,44977
WI,Portage,61405,67181,70019,70377
WI,Price,15600,15819,14159,14054
WI,Racine,175034,188849,195408,197727
WI,Richland,17521,17926,18021,17304
WI,Rock,139510,152315,160331,163687
WI,Rusk,15079,15350,14755,14188
WI,St.Croix,50251,63155,84345,93536
WI,Sauk,46975,55187,61976,65763
WI,Sawyer,14181,16221,16557,18074
WI,Shawano,37157,40676,41949,40881
WI,Sheboygan,103877,112663,115507,118034
WI,Taylor,18901,19682,20689,19913
WI,Trempealeau,25263,27002,28816,30760
WI,Vernon,25617,28058,29773,30714
WI,Vilas,17707,21055,21430,23047
WI,Walworth,75000,91895,102228,106478
WI,Washburn,13772,16007,15911,16623
WI,Washington,95328,117529,131887,136761
WI,Waukesha,304715,360810,389891,406978
WI,Waupaca,46104,51844,52410,51812
WI,Waushara,19385,23047,24496,24520
WI,Winnebago,140320,156752,166994,171730
WI,Wood,73605,75500,74749,74207
