Stabr,County,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,Adams,8,7,8,6,2231,1738,2724,11.6,9,14.2,507,351,663,18.2,12.6,23.8,354,220,488,16.8,10.4,23.2,53156,48422,57890
WI,Ashland,7,11,7,11,2655,2257,3053,17.8,15.1,20.5,774,584,964,23.3,17.6,29,521,378,664,21.5,15.6,27.4,47202,42492,51912
WI,Barron,6,6,6,6,3968,3170,4766,8.9,7.1,10.7,1133,782,1484,11.9,8.2,15.6,763,495,1031,10.8,7,14.6,54372,50433,58311
WI,Bayfield,8,7,8,6,1533,1154,1912,10.3,7.7,12.9,448,300,596,17.7,11.8,23.6,316,204,428,17,11,23,58065,54157,61973
WI,Brown,2,2,2,2,25456,22475,28437,9.9,8.7,11.1,7590,6180,9000,12.4,10.1,14.7,4995,3937,6053,11.2,8.8,13.6,65494,61806,69182
WI,Buffalo,8,6,8,6,1227,962,1492,9.5,7.5,11.5,324,228,420,12.4,8.7,16.1,228,155,301,11.9,8.1,15.7,58407,54174,62640
WI,Burnett,8,4,8,4,1926,1610,2242,12.6,10.5,14.7,589,467,711,22.9,18.2,27.6,404,311,497,21,16.2,25.8,51519,48564,54474
WI,Calumet,3,2,3,2,2701,2195,3207,5.4,4.4,6.4,751,564,938,6.5,4.9,8.1,484,340,628,5.4,3.8,7,80354,75677,85031
WI,Chippewa,3,2,3,2,5460,4430,6490,8.8,7.1,10.5,1667,1170,2164,12.1,8.5,15.7,1198,830,1566,11.6,8,15.2,60713,56607,64819
WI,Clark,8,6,6,6,4605,3747,5463,13.5,11,16,2231,1629,2833,22.2,16.2,28.2,1606,1151,2061,22.1,15.8,28.4,54296,50753,57839
WI,Columbia,2,2,2,2,3776,3000,4552,6.7,5.3,8.1,952,631,1273,8,5.3,10.7,643,403,883,7.3,4.6,10,69219,65308,73130
WI,Crawford,7,9,7,9,1789,1425,2153,11.6,9.2,14,502,338,666,16.1,10.8,21.4,359,232,486,15.3,9.9,20.7,51919,46919,56919
