Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,Adams County,8,7,8,6,"2,231","1,738","2,724",11.6,9.0,14.2,507,351,663,18.2,12.6,23.8,354,220,488,16.8,10.4,23.2,"53,156","48,422","57,890"
WI,Ashland County,7,11,7,11,"2,655","2,257","3,053",17.8,15.1,20.5,774,584,964,23.3,17.6,29.0,521,378,664,21.5,15.6,27.4,"47,202","42,492","51,912"
WI,Barron County,6,6,6,6,"3,968","3,170","4,766",8.9,7.1,10.7,"1,133",782,"1,484",11.9,8.2,15.6,763,495,"1,031",10.8,7.0,14.6,"54,372","50,433","58,311"
WI,Bayfield County,8,7,8,6,"1,533","1,154","1,912",10.3,7.7,12.9,448,300,596,17.7,11.8,23.6,316,204,428,17.0,11.0,23.0,"58,065","54,157","61,973"
WI,Brown County,2,2,2,2,"25,456","22,475","28,437",9.9,8.7,11.1,"7,590","6,180","9,000",12.4,10.1,14.7,"4,995","3,937","6,053",11.2,8.8,13.6,"65,494","61,806","69,182"
WI,Buffalo County,8,6,8,6,"1,227",962,"1,492",9.5,7.5,11.5,324,228,420,12.4,8.7,16.1,228,155,301,11.9,8.1,15.7,"58,407","54,174","62,640"
WI,Burnett County,8,4,8,4,"1,926","1,610","2,242",12.6,10.5,14.7,589,467,711,22.9,18.2,27.6,404,311,497,21.0,16.2,25.8,"51,519","48,564","54,474"
WI,Calumet County,3,2,3,2,"2,701","2,195","3,207",5.4,4.4,6.4,751,564,938,6.5,4.9,8.1,484,340,628,5.4,3.8,7.0,"80,354","75,677","85,031"
WI,Chippewa County,3,2,3,2,"5,460","4,430","6,490",8.8,7.1,10.5,"1,667","1,170","2,164",12.1,8.5,15.7,"1,198",830,"1,566",11.6,8.0,15.2,"60,713","56,607","64,819"
WI,Clark County,8,6,6,6,"4,605","3,747","5,463",13.5,11.0,16.0,"2,231","1,629","2,833",22.2,16.2,28.2,"1,606","1,151","2,061",22.1,15.8,28.4,"54,296","50,753","57,839"
WI,Columbia County,2,2,2,2,"3,776","3,000","4,552",6.7,5.3,8.1,952,631,"1,273",8.0,5.3,10.7,643,403,883,7.3,4.6,10.0,"69,219","65,308","73,130"
WI,Crawford County,7,9,7,9,"1,789","1,425","2,153",11.6,9.2,14.0,502,338,666,16.1,10.8,21.4,359,232,486,15.3,9.9,20.7,"51,919","46,919","56,919"
WI,Dane County,2,2,2,2,"50,163","45,696","54,630",9.4,8.6,10.2,"7,794","5,603","9,985",7.2,5.2,9.2,"5,499","3,824","7,174",7.0,4.9,9.1,"77,828","74,691","80,965"
WI,Dodge County,4,3,4,3,"6,512","5,410","7,614",8.0,6.6,9.4,"1,597","1,196","1,998",9.5,7.1,11.9,"1,106",803,"1,409",8.7,6.3,11.1,"61,730","59,486","63,974"
WI,Door County,6,6,6,6,"2,549","2,123","2,975",9.3,7.7,10.9,608,456,760,13.8,10.3,17.3,374,259,489,11.3,7.8,14.8,"64,217","59,565","68,869"
