State,County,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
WI,Wisconsin,0,0,0,2985643,2884737,100906,3.4,3017681,2884305,133376,4.4,3016760,2856234,160526,5.3,3045298,2873956,171342,5.6,3034621,2883573,151048,5,3029662,2885671,143991,4.8,3066266,2923575,142691,4.7,3087598,2938876,148722,4.8,3098931,2945874,153057,4.9,3112494,2833292,279202,9,3082935,2820620,262315,8.5,3072157,2839987,232170,7.6,3070033,2857150,212883,6.9,3077801,2871988,205813,6.7,3077981,2913764,164217,5.3,3084207,2947048,137159,4.4,3110466,2988744,121722,3.9,3122309,3020168,102141,3.3,3106532,3012801,93731,3,3094325,2993025,101300,3.3,3065402,2872609,192793,6.3,64177,100
WI,Adams,8,6,0,8892,8502,390,4.4,9093,8632,461,5.1,9173,8642,531,5.8,9260,8718,542,5.9,9481,8833,648,6.8,9705,9030,675,7,9924,9274,650,6.5,10100,9446,654,6.5,10077,9366,711,7.1,10038,8934,1104,11,9135,8022,1113,12.2,9029,7990,1039,11.5,8967,8002,965,10.8,8721,7779,942,10.8,8383,7652,731,8.7,8302,7713,589,7.1,8255,7770,485,5.9,8208,7793,415,5.1,8147,7761,386,4.7,8120,7717,403,5,8047,7281,766,9.5,53156,82.8
WI,Ashland,7,11,0,8904,8434,470,5.3,9129,8592,537,5.9,9240,8562,678,7.3,9240,8583,657,7.1,9286,8736,550,5.9,9283,8736,547,5.9,9270,8717,553,6,9056,8522,534,5.9,9006,8459,547,6.1,9179,8222,957,10.4,8409,7495,914,10.9,8281,7463,818,9.9,8221,7473,748,9.1,8156,7416,740,9.1,8041,7447,594,7.4,7901,7418,483,6.1,7929,7510,419,5.3,7868,7511,357,4.5,7876,7539,337,4.3,7841,7473,368,4.7,7686,7035,651,8.5,47202,73.5
WI,Barron,6,6,0,24959,23987,972,3.9,25291,24093,1198,4.7,25401,24035,1366,5.4,25895,24339,1556,6,25622,24209,1413,5.5,25511,24177,1334,5.2,25608,24217,1391,5.4,25028,23575,1453,5.8,25144,23690,1454,5.8,25250,22872,2378,9.4,23801,21635,2166,9.1,23690,21730,1960,8.3,23679,21838,1841,7.8,23633,21874,1759,7.4,24043,22676,1367,5.7,24396,23207,1189,4.9,24277,23203,1074,4.4,24621,23765,856,3.5,24809,23971,838,3.4,24276,23332,944,3.9,23873,22413,1460,6.1,54372,84.7
WI,Bayfield,8,6,0,7715,7309,406,5.3,7948,7501,447,5.6,8000,7494,506,6.3,8063,7537,526,6.5,8225,7705,520,6.3,8225,7725,500,6.1,8285,7763,522,6.3,8166,7636,530,6.5,8066,7521,545,6.8,8063,7294,769,9.5,7687,6852,835,10.9,7720,6909,811,10.5,7781,6955,826,10.6,7753,6908,845,10.9,7528,6817,711,9.4,7505,6894,611,8.1,7507,7003,504,6.7,7555,7165,390,5.2,7543,7175,368,4.9,7531,7120,411,5.5,7399,6711,688,9.3,58065,90.5
WI,Brown,2,2,1,131182,127485,3697,2.8,132306,127088,5218,3.9,133527,126826,6701,5,135837,128732,7105,5.2,137010,130674,6336,4.6,136051,129918,6133,4.5,137297,131162,6135,4.5,139062,132783,6279,4.5,139615,133165,6450,4.6,141515,130122,11393,8.1,137237,126621,10616,7.7,137281,127649,9632,7,137514,128632,8882,6.5,138007,129515,8492,6.2,138288,131689,6599,4.8,138906,133376,5530,4,140794,135820,4974,3.5,142289,138115,4174,2.9,142099,138170,3929,2.8,141022,136714,4308,3.1,140454,132013,8441,6,65494,102.1
WI,Buffalo,8,6,0,7868,7585,283,3.6,8206,7840,366,4.5,8208,7802,406,4.9,8398,7967,431,5.1,8102,7746,356,4.4,8325,7988,337,4,8543,8208,335,3.9,8235,7881,354,4.3,8155,7804,351,4.3,8341,7738,603,7.2,7203,6654,549,7.6,6941,6472,469,6.8,6631,6222,409,6.2,6550,6123,427,6.5,6454,6096,358,5.5,6518,6206,312,4.8,6553,6268,285,4.3,6560,6315,245,3.7,6571,6345,226,3.4,6422,6160,262,4.1,6336,5865,471,7.4,58407,91
WI,Burnett,8,4,0,7788,7490,298,3.8,8088,7669,419,5.2,8169,7693,476,5.8,8447,7984,463,5.5,8436,7966,470,5.6,8429,7956,473,5.6,8487,7999,488,5.7,8107,7560,547,6.7,7922,7351,571,7.2,8024,7121,903,11.3,7576,6752,824,10.9,7560,6802,758,10,7528,6859,669,8.9,7482,6852,630,8.4,7357,6774,583,7.9,7249,6754,495,6.8,7152,6735,417,5.8,7322,6970,352,4.8,7266,6933,333,4.6,7103,6735,368,5.2,7157,6509,648,9.1,51519,80.3
WI,Calumet,3,2,1,24108,23464,644,2.7,24452,23479,973,4,24780,23530,1250,5,25279,24040,1239,4.9,25154,24131,1023,4.1,25163,24130,1033,4.1,25414,24393,1021,4,25550,24356,1194,4.7,25705,24596,1109,4.3,25724,23674,2050,8,27315,25477,1838,6.7,27464,25878,1586,5.8,27271,25837,1434,5.3,27175,25755,1420,5.2,27116,25996,1120,4.1,27398,26443,955,3.5,27650,26782,868,3.1,27821,27046,775,2.8,27598,26881,717,2.6,27379,26622,757,2.8,27096,25825,1271,4.7,80354,125.2
WI,Chippewa,3,2,1,29979,28730,1249,4.2,30645,28966,1679,5.5,30903,28917,1986,6.4,31732,29731,2001,6.3,32124,30322,1802,5.6,32733,30966,1767,5.4,33687,31978,1709,5.1,33797,32007,1790,5.3,33420,31644,1776,5.3,33271,30335,2936,8.8,33193,30454,2739,8.3,33303,30787,2516,7.6,33225,31011,2214,6.7,32966,30759,2207,6.7,33022,31269,1753,5.3,33064,31542,1522,4.6,33263,31887,1376,4.1,33340,32178,1162,3.5,33217,32122,1095,3.3,33240,32004,1236,3.7,32978,30930,2048,6.2,60713,94.6
