State,County,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
WI,Wisconsin,,,,"2,985,643","2,884,737","100,906",3.4,"3,017,681","2,884,305","133,376",4.4,"3,016,760","2,856,234","160,526",5.3,"3,045,298","2,873,956","171,342",5.6,"3,034,621","2,883,573","151,048",5,"3,029,662","2,885,671","143,991",4.8,"3,066,266","2,923,575","142,691",4.7,"3,087,598","2,938,876","148,722",4.8,"3,098,931","2,945,874","153,057",4.9,"3,112,494","2,833,292","279,202",9,"3,082,935","2,820,620","262,315",8.5,"3,072,157","2,839,987","232,170",7.6,"3,070,033","2,857,150","212,883",6.9,"3,077,801","2,871,988","205,813",6.7,"3,077,981","2,913,764","164,217",5.3,"3,084,207","2,947,048","137,159",4.4,"3,110,466","2,988,744","121,722",3.9,"3,122,309","3,020,168","102,141",3.3,"3,106,532","3,012,801","93,731",3,"3,094,325","2,993,025","101,300",3.3,"3,065,402","2,872,609","192,793",6.3,"64,177",100
WI,Adams,8,6,0,"8,892","8,502",390,4.4,"9,093","8,632",461,5.1,"9,173","8,642",531,5.8,"9,260","8,718",542,5.9,"9,481","8,833",648,6.8,"9,705","9,030",675,7,"9,924","9,274",650,6.5,"10,100","9,446",654,6.5,"10,077","9,366",711,7.1,"10,038","8,934","1,104",11,"9,135","8,022","1,113",12.2,"9,029","7,990","1,039",11.5,"8,967","8,002",965,10.8,"8,721","7,779",942,10.8,"8,383","7,652",731,8.7,"8,302","7,713",589,7.1,"8,255","7,770",485,5.9,"8,208","7,793",415,5.1,"8,147","7,761",386,4.7,"8,120","7,717",403,5,"8,047","7,281",766,9.5,"53,156",82.8
WI,Ashland,7,11,0,"8,904","8,434",470,5.3,"9,129","8,592",537,5.9,"9,240","8,562",678,7.3,"9,240","8,583",657,7.1,"9,286","8,736",550,5.9,"9,283","8,736",547,5.9,"9,270","8,717",553,6,"9,056","8,522",534,5.9,"9,006","8,459",547,6.1,"9,179","8,222",957,10.4,"8,409","7,495",914,10.9,"8,281","7,463",818,9.9,"8,221","7,473",748,9.1,"8,156","7,416",740,9.1,"8,041","7,447",594,7.4,"7,901","7,418",483,6.1,"7,929","7,510",419,5.3,"7,868","7,511",357,4.5,"7,876","7,539",337,4.3,"7,841","7,473",368,4.7,"7,686","7,035",651,8.5,"47,202",73.5
WI,Barron,6,6,0,"24,959","23,987",972,3.9,"25,291","24,093","1,198",4.7,"25,401","24,035","1,366",5.4,"25,895","24,339","1,556",6,"25,622","24,209","1,413",5.5,"25,511","24,177","1,334",5.2,"25,608","24,217","1,391",5.4,"25,028","23,575","1,453",5.8,"25,144","23,690","1,454",5.8,"25,250","22,872","2,378",9.4,"23,801","21,635","2,166",9.1,"23,690","21,730","1,960",8.3,"23,679","21,838","1,841",7.8,"23,633","21,874","1,759",7.4,"24,043","22,676","1,367",5.7,"24,396","23,207","1,189",4.9,"24,277","23,203","1,074",4.4,"24,621","23,765",856,3.5,"24,809","23,971",838,3.4,"24,276","23,332",944,3.9,"23,873","22,413","1,460",6.1,"54,372",84.7
WI,Bayfield,8,6,0,"7,715","7,309",406,5.3,"7,948","7,501",447,5.6,"8,000","7,494",506,6.3,"8,063","7,537",526,6.5,"8,225","7,705",520,6.3,"8,225","7,725",500,6.1,"8,285","7,763",522,6.3,"8,166","7,636",530,6.5,"8,066","7,521",545,6.8,"8,063","7,294",769,9.5,"7,687","6,852",835,10.9,"7,720","6,909",811,10.5,"7,781","6,955",826,10.6,"7,753","6,908",845,10.9,"7,528","6,817",711,9.4,"7,505","6,894",611,8.1,"7,507","7,003",504,6.7,"7,555","7,165",390,5.2,"7,543","7,175",368,4.9,"7,531","7,120",411,5.5,"7,399","6,711",688,9.3,"58,065",90.5
WI,Brown,2,2,1,"131,182","127,485","3,697",2.8,"132,306","127,088","5,218",3.9,"133,527","126,826","6,701",5,"135,837","128,732","7,105",5.2,"137,010","130,674","6,336",4.6,"136,051","129,918","6,133",4.5,"137,297","131,162","6,135",4.5,"139,062","132,783","6,279",4.5,"139,615","133,165","6,450",4.6,"141,515","130,122","11,393",8.1,"137,237","126,621","10,616",7.7,"137,281","127,649","9,632",7,"137,514","128,632","8,882",6.5,"138,007","129,515","8,492",6.2,"138,288","131,689","6,599",4.8,"138,906","133,376","5,530",4,"140,794","135,820","4,974",3.5,"142,289","138,115","4,174",2.9,"142,099","138,170","3,929",2.8,"141,022","136,714","4,308",3.1,"140,454","132,013","8,441",6,"65,494",102.1
WI,Buffalo,8,6,0,"7,868","7,585",283,3.6,"8,206","7,840",366,4.5,"8,208","7,802",406,4.9,"8,398","7,967",431,5.1,"8,102","7,746",356,4.4,"8,325","7,988",337,4,"8,543","8,208",335,3.9,"8,235","7,881",354,4.3,"8,155","7,804",351,4.3,"8,341","7,738",603,7.2,"7,203","6,654",549,7.6,"6,941","6,472",469,6.8,"6,631","6,222",409,6.2,"6,550","6,123",427,6.5,"6,454","6,096",358,5.5,"6,518","6,206",312,4.8,"6,553","6,268",285,4.3,"6,560","6,315",245,3.7,"6,571","6,345",226,3.4,"6,422","6,160",262,4.1,"6,336","5,865",471,7.4,"58,407",91
WI,Burnett,8,4,0,"7,788","7,490",298,3.8,"8,088","7,669",419,5.2,"8,169","7,693",476,5.8,"8,447","7,984",463,5.5,"8,436","7,966",470,5.6,"8,429","7,956",473,5.6,"8,487","7,999",488,5.7,"8,107","7,560",547,6.7,"7,922","7,351",571,7.2,"8,024","7,121",903,11.3,"7,576","6,752",824,10.9,"7,560","6,802",758,10,"7,528","6,859",669,8.9,"7,482","6,852",630,8.4,"7,357","6,774",583,7.9,"7,249","6,754",495,6.8,"7,152","6,735",417,5.8,"7,322","6,970",352,4.8,"7,266","6,933",333,4.6,"7,103","6,735",368,5.2,"7,157","6,509",648,9.1,"51,519",80.3
WI,Calumet,3,2,1,"24,108","23,464",644,2.7,"24,452","23,479",973,4,"24,780","23,530","1,250",5,"25,279","24,040","1,239",4.9,"25,154","24,131","1,023",4.1,"25,163","24,130","1,033",4.1,"25,414","24,393","1,021",4,"25,550","24,356","1,194",4.7,"25,705","24,596","1,109",4.3,"25,724","23,674","2,050",8,"27,315","25,477","1,838",6.7,"27,464","25,878","1,586",5.8,"27,271","25,837","1,434",5.3,"27,175","25,755","1,420",5.2,"27,116","25,996","1,120",4.1,"27,398","26,443",955,3.5,"27,650","26,782",868,3.1,"27,821","27,046",775,2.8,"27,598","26,881",717,2.6,"27,379","26,622",757,2.8,"27,096","25,825","1,271",4.7,"80,354",125.2
WI,Chippewa,3,2,1,"29,979","28,730","1,249",4.2,"30,645","28,966","1,679",5.5,"30,903","28,917","1,986",6.4,"31,732","29,731","2,001",6.3,"32,124","30,322","1,802",5.6,"32,733","30,966","1,767",5.4,"33,687","31,978","1,709",5.1,"33,797","32,007","1,790",5.3,"33,420","31,644","1,776",5.3,"33,271","30,335","2,936",8.8,"33,193","30,454","2,739",8.3,"33,303","30,787","2,516",7.6,"33,225","31,011","2,214",6.7,"32,966","30,759","2,207",6.7,"33,022","31,269","1,753",5.3,"33,064","31,542","1,522",4.6,"33,263","31,887","1,376",4.1,"33,340","32,178","1,162",3.5,"33,217","32,122","1,095",3.3,"33,240","32,004","1,236",3.7,"32,978","30,930","2,048",6.2,"60,713",94.6
